	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1677181	Afghanistan	1	44	69	82	70	1	6.5	65	484	4.13	0.02	0.2	0.07	1	44	69	82	70	1	6.5	65	484	4.13	0.02	0.2	0.07	1	63	91	100	105	0.5	0.75	6.1	145	1000	3.3	35	167	0.42	4.2	0.039	69.8121	34.7602	134	116	33	8248	308	-41	349	77	197	239	24	571	132	10	87	341	40	44	171	1791
acc1677182	Afghanistan	1	59	78	88	115	0.5	6.5	62	444	3.6	0.02	0.16	0.06	1	59	78	88	115	0.5	6.5	62	444	3.6	0.02	0.16	0.06	1	49	74	89	101	0.5	0.75	5.6	192	776	4.12	34	158	0.42	4.2	0.037	69.8121	34.7602	134	116	33	8248	308	-41	349	77	197	239	24	571	132	10	87	341	40	44	171	1791
acc1677184	Afghanistan	1	64	82	90	110	0.5	7	65	576	3.47	0.02	0.2	0.07	1	64	82	90	110	0.5	7	65	576	3.47	0.02	0.2	0.07	1	60	81	91	103	1	1	5.9	56	158	3.42	7	112	0.42	4.2	0.026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677185	Afghanistan	1	64	82	90	120	0	9	67	631	6.97	0.04	0.44	0.16	1	64	82	90	120	0	9	67	631	6.97	0.04	0.44	0.16	1	47	66	79	58	0	0	9.2	34	166	5.2	10	257	0.42	4.2	0.061	67.118	36.6926	173	133	32	9789	387	-18	405	69	303	303	49	183	45	0	94	109	0	0	86	381
acc1677186	Afghanistan	1	70	87	100	120	0.5	11	36	316	7.59	0.02	0.24	0.09	1	70	87	100	120	0.5	11	36	316	7.59	0.02	0.24	0.09	1	49	73	87	97	0.5	0	7.9	30	93	6.64	8	283	0.42	4.2	0.067	67.118	36.6926	173	133	32	9789	387	-18	405	69	303	303	49	183	45	0	94	109	0	0	86	381
acc1677187	Afghanistan	0	64	87	94	115	1	8.5	98	772	6.47	0.05	0.5	0.21	0	64	87	94	115	1	8.5	98	772	6.47	0.05	0.5	0.21	1	50	68	89	70	1	0.5	5.8	107	260	5.76	17	112	0.42	4.2	0.026	67.118	36.6926	173	133	32	9789	387	-18	405	69	303	303	49	183	45	0	94	109	0	0	86	381
acc1677188	Afghanistan	1	57	80	89	115	0	12.5	56	586	6.14	0.04	0.36	0.13	1	57	80	89	115	0	12.5	56	586	6.14	0.04	0.36	0.13	1	48	68	87	80	0.5	0	10.1	34	153	5.88	11	142	0.42	4.2	0.033	67.71	33.9391	-18	133	32	8961	178	-233	411	-79	82	91	-142	484	96	2	79	263	11	17	186	3868
acc1677189	Columbia	0	57	80	89	80	1	6.5	61	516	3.87	0.02	0.2	0.07	0	57	80	89	80	1	6.5	61	516	3.87	0.02	0.2	0.07	0	48	68	79	82	1	1	6.4	12	25	3.51	2	140	0.42	4.2	0.033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1677190	Philippines	0	60	77	84	100	1	8	29	177	5.64	0.01	0.12	0.04	0	60	77	84	100	1	8	29	177	5.64	0.01	0.12	0.04	0	51	85	98	82	1	0.5	8.8	80	296	4.3	16	69	0.42	4.2	0.016	120.9842	14.5995	273	80	64	1114	339	214	125	273	263	288	258	2059	445	8	90	1199	36	429	88	9
acc1677191	Kenya	0	60	77	84	120	1	12	45	298	8.05	0.03	0.26	0.09	0	60	77	84	120	1	12	45	298	8.05	0.03	0.26	0.09	0	50	73	89	87	1	1	9.2	37	195	5.87	14	111	0.42	4.2	0.026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
