	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1676943	USA	0	61	74	82	80	0.5	8	65	570	4.56	0.03	0.26	0.09	0	61	74	82	77.8	0.5	7.7	63.4	560	4.64	0.03	0.26	0.09	1	56	83	89	74.8	0.5	0.5	6.06	65	262	4.58	14.4	267	0.42	4.2	0.0063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676945	China	1	47	65	78	85	0.5	7	66	498	4.41	0.02	0.22	0.08	1	47	65	78	85	0.5	7	66	498	4.41	0.02	0.22	0.08	1	48	68	77	92	0.5	0	6.2	129	994	4.82	50	316	0.42	4.2	0.075	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676946	China	1	50	66	75	85	1	8	154	1224	3.59	0.04	0.44	0.16	1	50	66	75	85	1	8	154	1224	3.59	0.04	0.44	0.16	1	48	68	81	45	0.5	0.5	6.6	241	1287	3.57	48	359	0.42	4.2	0.085	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676948	China	1	54	70	76	105	0.5	7	44	265	4.52	0.01	0.12	0.42	1	54	70	76	105	0.5	7	44	265	4.52	0.01	0.12	0.42	1	46	68	77	75	0.5	0.5	7.4	155	1280	5.07	67	324	0.42	4.2	0.077	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676949	China	1	47	65	75	75	1	6.5	49	377	4.24	0.02	0.16	0.06	1	47	65	75	75	1	6.5	49	377	4.24	0.02	0.16	0.06	1	46	68	77	58	0.5	0.5	6.5	76	542	4.42	26	395	0.42	4.2	0.094	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676950	China	1	47	65	75	85	1	6.5	70	500	4.6	0.02	0.23	0.08	1	47	65	75	85	1	6.5	70	500	4.6	0.02	0.23	0.08	1	49	67	77	62	1	1	5.8	117	853	3.98	36	427	0.42	4.2	0.1	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676951	China	0	60	73	80	75	1	7.5	110	968	3.61	0.04	0.35	0.13	0	60	73	80	75	1	7.5	110	968	3.61	0.04	0.35	0.13	1	48	66	74	72	1	1	5.9	114	686	4.08	30	359	0.42	4.2	0.085	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676952	China	1	55	70	78	80	0.5	8	42	315	4.44	0.01	0.14	0.05	1	55	70	78	80	0.5	8	42	315	4.44	0.01	0.14	0.05	1	48	68	81	78	0.5	0.5	6	62	423	3.51	19	99	0.42	4.2	0.023	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676953	China	1	72	100	115	120	0	7	25	234	3.41	0.01	0.08	0.03	1	72	100	115	120	0	7	25	234	3.41	0.01	0.08	0.03	1	77	100	110	95	0	0	7.2	39	202	3.96	10	97	0.42	4.2	0.023	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676954	China	1	74	100	115	140	0	7	89	840	3.69	0.03	0.31	0.11	1	74	100	115	140	0	7	89	840	3.69	0.03	0.31	0.11	1	72	100	110	76	0.5	0	6.2	53	233	3	9	117	0.42	4.2	0.027	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676955	China	1	85	107	117	120	0	6	22	196	3.57	0.01	0.07	0.03	1	85	107	117	120	0	6	22	196	3.57	0.01	0.07	0.03	1	72	100	110	82	0.5	0	7.2	37	114	2.5	6	34	0.42	4.2	0.008	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676956	China	1	60	85	105	120	0	7	13	132	3.78	0.01	0.05	0.02	1	60	85	105	120	0	7	13	132	3.78	0.01	0.05	0.02	1	50	77	94	95	0.5	0.5	4.4	11	42	5.57	3	74	0.42	4.2	0.017	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676957	Iran	1	58	70	80	70	0.5	7.5	72	612	3.75	0.02	0.23	0.08	1	58	70	80	70	0.5	7.5	72	612	3.75	0.02	0.23	0.08	1	51	74	87	77	1	0.5	7.5	16	66	4.54	5	98	0.42	4.2	0.023	53.688	32.4279	191	151	37	8965	401	-3	404	95	306	306	74	64	13	0	79	35	0	0	31	1138
acc1676958	Uzbekistan	1	77	100	115	100	0	7	48	336	3.86	0.01	0.13	0.05	1	77	100	115	100	0	7	48	336	3.86	0.01	0.13	0.05	1	72	99	109	96	1	0.5	7.5	49	65	2.99	3	109	0.42	4.2	0.025	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
acc1676960	Uzbekistan	1	72	95	108	90	0.5	9	41	320	5	0.02	0.16	0.06	1	72	95	108	90	0.5	9	41	320	5	0.02	0.16	0.06	1	70	89	100	88	1	0.5	7.2	29	127	3.73	6	198	0.42	4.2	0.047	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
acc1676961	Uzbekistan	1	70	94	105	100	0.5	6	64	482	3.52	0.02	0.17	0.06	1	70	94	105	100	0.5	6	64	482	3.52	0.02	0.17	0.06	1	70	100	115	102	0.5	0.5	6.5	171	895	2.9	28	196	0.42	4.2	0.046	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
acc1676962	Iraq	1	75	100	114	90	0.5	6	25	176	4.54	0.01	0.08	0.03	1	75	100	114	90	0.5	6	25	176	4.54	0.01	0.08	0.03	1	63	89	100	86	0.5	0.5	5.8	44	295	4.74	16	257	0.42	4.2	0.061	53.688	32.4279	191	151	37	8965	401	-3	404	95	306	306	74	64	13	0	79	35	0	0	31	1138
acc1676963	Kazakhstan	0	80	102	114	100	0.5	7	33	290	4.13	0.01	0.12	0.04	0	80	102	114	100	0.5	7	33	290	4.13	0.01	0.12	0.04	1	73	98	110	88	1	0.5	4.8	35	130	3.84	7	88	0.42	4.2	0.02	71.4704	51.1605	22	105	21	13621	268	-214	482	172	-143	189	-155	311	54	13	43	123	43	120	48	353
acc1676964	Turkestan	1	70	96	109	90	1	7	44	338	3.84	0.01	0.13	0.05	1	70	96	109	90	1	7	44	338	3.84	0.01	0.13	0.05	1	77	90	98	87	1	0.5	6.4	33	47	3.28	3	48	0.42	4.2	0.011	69.5901	42.3417	122	129	31	9923	344	-66	410	65	231	248	-9	514	77	2	62	209	17	22	185	543
acc1676965	Turkestan	0	55	70	78	85	0.5	7.5	65	580	3.96	0.02	0.23	0.08	0	55	70	78	85	0.5	7.5	65	580	3.96	0.02	0.23	0.08	1	46	68	81	72	0.5	0.5	6.2	104	552	4.89	29	289	0.42	4.2	0.068	69.5901	42.3417	122	129	31	9923	344	-66	410	65	231	248	-9	514	77	2	62	209	17	22	185	543
acc1676966	Turkestan	1	56	76	86	100	0.5	8	110	995	4.42	0.04	0.44	0.16	1	56	76	86	100	0.5	8	110	995	4.42	0.04	0.44	0.16	1	47	68	81	75	0.5	0.5	6.9	160	991	4.64	48	230	0.42	4.2	0.054	60.3685	41.4065	133	126	28	10853	362	-73	435	143	250	271	-8	102	20	1	67	49	5	6	31	95
acc1676967	Turkestan	1	90	110	120	130	0	6.5	37	268	4.85	0.01	0.13	0.05	1	90	110	120	130	0	6.5	37	268	4.85	0.01	0.13	0.05	1	79	100	110	92	1	0.5	6.1	27	137	3.64	7	50	0.42	4.2	0.011	60.3685	41.4065	133	126	28	10853	362	-73	435	143	250	271	-8	102	20	1	67	49	5	6	31	95
acc1676968	Turkestan	1	80	100	114	80	1	6	54	344	4.94	0.02	0.17	0.06	1	80	100	114	80	1	6	54	344	4.94	0.02	0.17	0.06	1	79	100	110	82	1	0.5	5.5	8	33	2.22	2	45	0.42	4.2	0.01	60.3685	41.4065	133	126	28	10853	362	-73	435	143	250	271	-8	102	20	1	67	49	5	6	31	95
acc1676969	Uzbekistan	0	73	100	106	120	0	6	30	218	3.66	0.01	0.08	0.03	0	73	100	106	120	0	6	30	218	3.66	0.01	0.08	0.03	1	79	91	99	65	0.5	0.5	5.5	30	122	4.09	7	55	0.42	4.2	0.013	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
acc1676970	Russia	0	86	110	122	90	0.5	6	19	148	4.05	0.01	0.06	0.02	0	86	110	122	90	0.5	6	19	148	4.05	0.01	0.06	0.02	1	79	91	99	66	0.5	0.5	6.4	16	84	2.97	5	78	0.42	4.2	0.018	47.095	42.1432	56	91	29	7584	218	-93	311	131	-43	151	-43	657	107	17	53	283	59	249	59	1655
acc1676971	Russia	1	75	90	100	90	0.5	6	55	402	4.47	0.02	0.18	0.06	1	75	90	100	90	0.5	6	55	402	4.47	0.02	0.18	0.06	1	63	87	94	75	0.5	0.5	7.2	222	1196	4.51	56	400	0.42	4.2	0.095	47.095	42.1432	56	91	29	7584	218	-93	311	131	-43	151	-43	657	107	17	53	283	59	249	59	1655
acc1676972	Russia	0	57	73	80	85	0.5	8	59	348	4.59	0.02	0.16	0.06	0	57	73	80	85	0.5	8	59	348	4.59	0.02	0.16	0.06	1	46	74	84	88	0.5	0.5	5	265	1600	3.87	64	381	0.42	4.2	0.09	47.095	42.1432	56	91	29	7584	218	-93	311	131	-43	151	-43	657	107	17	53	283	59	249	59	1655
acc1676973	Russia	1	90	112	122	110	0.5	6	18	159	3.77	0.01	0.06	0.02	1	90	112	122	110	0.5	6	18	159	3.77	0.01	0.06	0.02	1	84	100	110	96	0.5	0.5	5	64	354	3.1	13	92	0.42	4.2	0.002	47.095	42.1432	56	91	29	7584	218	-93	311	131	-43	151	-43	657	107	17	53	283	59	249	59	1655
acc1676974	USA	1	55	73	80	120	0.5	7.5	177	1560	3.58	0.06	0.56	0.2	1	55	73	80	120	0.5	7.5	177	1560	3.58	0.06	0.56	0.2	1	52	74	84	95	0.5	0.5	6.2	63	485	3.91	21	221	0.42	4.2	0.052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676975	USA	1	55	73	80	85	1	8	130	1250	3.52	0.04	0.44	0.16	1	55	73	80	85	1	8	130	1250	3.52	0.04	0.44	0.16	1	56	85	94	89	0.5	0.5	6.1	342	2560	3.82	100	464	0.42	4.2	0.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676977	Russia	1	60	78	80	80	0.5	6.5	116	960	3.75	0.04	0.38	0.14	1	60	78	80	80	0.5	6.5	116	960	3.75	0.04	0.38	0.14	1	52	73	85	80	1	0.5	8.2	83	741	3.91	31	350	0.42	4.2	0.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676978	Russia	0	86	105	112	90	0.5	7	32	200	4.5	0.01	0.08	0.03	0	86	105	112	90	0.5	7	32	200	4.5	0.01	0.08	0.03	1	89	110	124	78	0.5	0.5	4.9	11	42	3.44	3	29	0.42	4.2	0.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676979	USA	1	54	73	80	90	1	7.5	98	738	4.6	0.03	0.34	0.12	1	54	73	80	90	1	7.5	98	738	4.6	0.03	0.34	0.12	1	48	70	80	120	0.75	0.75	7.6	214	1338	5.15	71	351	0.42	4.2	0.083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676980	China	0	50	66	73	75	1	7	83	588	4.08	0.02	0.24	0.09	0	50	66	73	75	1	7	83	588	4.08	0.02	0.24	0.09	1	50	73	82	80	1	0.5	7.4	127	839	4.46	39	300	0.42	4.2	0.071	130.5244	44.9188	39	120	24	13426	269	-223	492	202	-145	202	-145	539	125	4	93	327	19	327	19	261
acc1676981	Iran	1	87	110	122	80	0.5	6	7	50	4.03	0	0.02	0.01	1	87	110	122	80	0.5	6	7	50	4.03	0	0.02	0.01	1	78	100	110	88	0.5	0.5	5.8	82	612	3.43	23	97	0.42	4.2	0.023	59.4698	36.3394	125	143	37	8291	320	-62	382	68	220	230	17	255	54	1	78	134	4	8	83	1114
acc1676982	Iran	1	87	110	122	85	0.5	5	15	107	4.65	0.01	0.05	0.02	1	87	110	122	85	0.5	5	15	107	4.65	0.01	0.05	0.02	1	78	100	110	123	0.75	0.75	4.9	8	63	3.68	4	149	0.42	4.2	0.035	59.4698	36.3394	125	143	37	8291	320	-62	382	68	220	230	17	255	54	1	78	134	4	8	83	1114
acc1676983	Iran	1	82	100	112	80	0.5	7	29	225	4.44	0.01	0.1	0.04	1	82	100	112	80	0.5	7	29	225	4.44	0.01	0.1	0.04	1	70	90	100	105	0.5	0.5	5.8	58	361	3.87	16	162	0.42	4.2	0.038	53.688	32.4279	191	151	37	8965	401	-3	404	95	306	306	74	64	13	0	79	35	0	0	31	1138
acc1676984	Iran	1	84	100	112	100	0.5	7	51	400	4	0.02	0.16	0.06	1	84	100	112	100	0.5	7	51	400	4	0.02	0.16	0.06	1	70	90	110	98	1	0.5	5.2	82	450	3.11	16	208	0.42	4.2	0.049	53.688	32.4279	191	151	37	8965	401	-3	404	95	306	306	74	64	13	0	79	35	0	0	31	1138
acc1676985	Iran	1	84	100	112	100	0.5	6	55	400	3.5	0.01	0.14	0.05	1	84	100	112	100	0.5	6	55	400	3.5	0.01	0.14	0.05	1	70	94	100	94	1	0.5	6.1	99	587	3.91	25	160	0.42	4.2	0.038	53.688	32.4279	191	151	37	8965	401	-3	404	95	306	306	74	64	13	0	79	35	0	0	31	1138
acc1676986	Turkmenistan	1	67	92	100	110	0.5	6	55	594	3.7	0.02	0.22	0.08	1	67	92	100	110	0.5	6	55	594	3.7	0.02	0.22	0.08	1	64	89	100	94	1	0.5	5.8	131	665	3.75	27	226	0.42	4.2	0.053	58.0897	37.9153	140	133	32	9543	356	-50	406	138	251	264	17	258	47	2	69	129	10	14	77	652
acc1676987	Turkmenistan	0	84	100	112	110	1	6.5	50	346	4.04	0.01	0.14	0.05	0	84	100	112	110	1	6.5	50	346	4.04	0.01	0.14	0.05	1	70	91	100	90	1	0.5	6.2	24	165	3.9	8	132	0.42	4.2	0.031	58.0897	37.9153	140	133	32	9543	356	-50	406	138	251	264	17	258	47	2	69	129	10	14	77	652
acc1676988	Turkmenistan	1	84	100	112	100	0.5	7	76	620	3.54	0.02	0.22	0.08	1	84	100	112	100	0.5	7	76	620	3.54	0.02	0.22	0.08	1	70	91	100	110	0.5	0.5	6.5	97	597	3.51	23	169	0.42	4.2	0.04	58.0897	37.9153	140	133	32	9543	356	-50	406	138	251	264	17	258	47	2	69	129	10	14	77	652
acc1676989	Turkmenistan	1	87	110	122	80	1	5	25	138	4.34	0.01	0.06	0.02	1	87	110	122	80	1	5	25	138	4.34	0.01	0.06	0.02	1	80	91	100	72	0.5	0.5	6.5	172	911	3.51	34	129	0.42	4.2	0.03	58.0897	37.9153	140	133	32	9543	356	-50	406	138	251	264	17	258	47	2	69	129	10	14	77	652
acc1676990	Turkmenistan	1	82	110	118	70	1	6	30	250	4.36	0.01	0.11	0.04	1	82	110	118	70	1	6	30	250	4.36	0.01	0.11	0.04	1	70	91	100	90	1	0.5	5.6	25	97	3.59	5	106	0.42	4.2	0.025	58.0897	37.9153	140	133	32	9543	356	-50	406	138	251	264	17	258	47	2	69	129	10	14	77	652
acc1676991	Turkmenistan	1	87	110	120	80	0.5	5	34	160	4.37	0.01	0.07	0.03	1	87	110	120	80	0.5	5	34	160	4.37	0.01	0.07	0.03	1	79	100	110	115	0.5	0.5	5.8	143	797	4.14	35	165	0.42	4.2	0.039	58.0907	37.9172	138	134	32	9592	355	-53	408	136	249	262	14	262	48	3	69	131	11	16	77	725
acc1676992	Turkmenistan	1	87	110	120	80	0.5	6	37	257	3.89	0.01	0.1	0.04	1	87	110	120	80	0.5	6	37	257	3.89	0.01	0.1	0.04	1	77	100	110	86	1	0.5	5.6	204	564	3.54	22	87	0.42	4.2	0.02	58.0907	37.9172	138	134	32	9592	355	-53	408	136	249	262	14	262	48	3	69	131	11	16	77	725
acc1676993	Turkmenistan	1	70	90	100	110	0.5	7.5	69	642	3.89	0.03	0.25	0.09	1	70	90	100	110	0.5	7.5	69	642	3.89	0.03	0.25	0.09	1	62	89	97	110	1	0.5	6.9	101	509	4.12	23	190	0.42	4.2	0.045	58.3261	37.9601	160	130	32	9581	376	-27	403	158	270	285	37	232	44	2	67	111	8	12	73	223
acc1676994	Turkmenistan	1	62	87	100	80	0.5	7	54	473	3.59	0.02	0.17	0.06	1	62	87	100	80	0.5	7	54	473	3.59	0.02	0.17	0.06	1	63	89	100	110	0.5	0.5	5.5	129	597	3.01	20	140	0.42	4.2	0.033	58.3261	37.9601	160	130	32	9581	376	-27	403	158	270	285	37	232	44	2	67	111	8	12	73	223
acc1676995	USA	1	47	65	75	120	0	7	134	938	5.11	0.05	0.48	0.17	1	47	65	75	120	0	7	134	938	5.11	0.05	0.48	0.17	1	67	89	115	80	0.5	0.5	8.6	71	436	4.12	20	146	0.42	4.2	0.036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676996	USA	1	58	82	95	100	0.5	7	54	457	6.12	0.03	0.28	0.1	1	58	82	95	100	0.5	7	54	457	6.12	0.03	0.28	0.1	1	63	89	115	110	0.5	0.5	6	51	254	4.8	16	96	0.42	4.2	0.022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676997	Ukraine	1	73	100	112	90	0.5	6	50	279	4.65	0.01	0.13	0.08	1	73	100	112	90	0.5	6	50	279	4.65	0.01	0.13	0.08	1	77	91	100	80	0.5	0.5	5.9	6	37	2.87	3	445	0.42	4.2	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676998	Turkmenistan	1	63	90	100	110	0.5	7	94	718	4.45	0.03	0.32	0.11	1	63	90	100	110	0.5	7	94	718	4.45	0.03	0.32	0.11	1	70	89	100	110	0.5	0.5	7.7	73	314	3.5	11	86	0.42	4.2	0.02	68.4094	43.3667	117	135	30	11036	356	-88	444	55	237	256	-29	211	33	1	62	85	6	11	76	275
acc1676999	Iran	1	75	95	105	110	0.5	7	44	368	4.34	0.02	0.16	0.06	1	75	95	105	110	0.5	7	44	368	4.34	0.02	0.16	0.06	1	77	91	100	120	0.5	0	5	79	371	3.23	14	85	0.42	4.2	0.02	48.3988	34.7608	47	154	38	8719	271	-134	405	26	156	159	-66	368	73	0	83	190	4	11	136	3133
acc1677000	Iran	1	75	105	116	80	0.5	6	54	340	4.41	0.02	0.15	0.05	1	75	105	116	80	0.5	6	54	340	4.41	0.02	0.15	0.05	1	85	110	123	101	0.5	0.75	4.6	111	596	3.02	20	84	0.42	4.2	0.02	51.389	35.6892	164	127	32	9165	368	-20	388	58	274	280	45	222	36	1	69	103	6	7	98	1169
acc1677001	Turkestan	1	48	65	75	70	1	7.5	100	689	4.2	0.03	0.29	0.1	1	48	65	75	70	1	7.5	100	689	4.2	0.03	0.29	0.1	1	54	79	91	85	0.5	0	6.9	57	283	4.24	14	80	0.42	4.2	0.019	68.4094	43.3667	117	135	30	11036	356	-88	444	55	237	256	-29	211	33	1	62	85	6	11	76	275
acc1677002	Turkestan	1	72	100	108	80	0.5	6.5	32	212	3.77	0.01	0.08	0.03	1	72	100	108	80	0.5	6.5	32	212	3.77	0.01	0.08	0.03	1	77	94	105	68	0.5	0.5	5.5	39	173	1.7	6	30	0.42	4.2	0.007	68.1431	42.2663	140	133	31	10208	367	-53	420	83	252	270	5	292	45	1	65	124	7	11	112	208
acc1677003	Uzbekistan	1	72	100	108	70	1	5	7	44	4.54	0	0.03	0.01	1	72	100	108	70	1	5	7	44	4.54	0	0.03	0.01	1	76	99	109	85	0.5	0.5	6	27	111	3.47	5	48	0.42	4.2	0.011	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677004	Uzbekistan	1	72	100	108	90	0.5	6	12	100	3.73	0	0.04	0.01	1	72	100	108	90	0.5	6	12	100	3.73	0	0.04	0.01	1	77	100	110	112	0.5	0	6.3	55	304	3.94	14	93	0.84	4.2	0.022	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677005	Uzbekistan	0	87	110	116	70	0.5	6	13	84	5.35	0	0.04	0.01	0	87	110	116	70	0.5	6	13	84	5.35	0	0.04	0.01	1	77	100	110	100	0.5	0.5	5.6	15	53	2.51	3	49	0.42	4.2	0.011	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677006	Uzbekistan	1	87	110	118	80	0.5	5	20	120	4.08	0.01	0.05	0.02	1	87	110	118	80	0.5	5	20	120	4.08	0.01	0.05	0.02	1	79	100	110	110	0.5	0.5	5.8	69	215	3.27	9	47	0.42	4.2	0.011	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677007	Uzbekistan	0	90	112	120	60	0.5	5	37	256	4.68	0.01	0.12	0.04	0	90	112	120	60	0.5	5	37	256	4.68	0.01	0.12	0.04	1	79	94	100	94	0.5	0.5	5	65	247	5.52	10	55	0.42	4.2	0.013	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677008	Uzbekistan	1	77	98	106	60	1	6.5	59	250	5.28	0.03	0.25	0.09	1	77	98	106	60	1	6.5	59	250	5.28	0.03	0.25	0.09	1	77	91	98	65	0.5	0.5	7.3	38	167	2.95	8	55	0.42	4.2	0.013	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677009	Uzbekistan	1	87	110	118	120	0.5	7.5	25	177	5.64	0.01	0.1	0.035	1	87	110	118	120	0.5	7.5	25	177	5.64	0.01	0.1	0.035	1	77	98	108	76	1	0.5	5.4	24	40	4.32	3	57	0.42	4.2	0.013	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677010	Uzbekistan	1	66	97	107	120	0.5	6	14	70	5.63	0	0.04	0.01	1	66	97	107	120	0.5	6	14	70	5.63	0	0.04	0.01	1	77	91	98	110	1	0.5	7.2	40	238	4.2	12	86	0.42	4.2	0.02	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677011	Uzbekistan	1	87	114	124	130	0.5	6	18	152	4.6	0.01	0.07	0.03	1	87	114	124	130	0.5	6	18	152	4.6	0.01	0.07	0.03	1	73	91	99	83	1	0.5	5	243	946	3.27	33	106	0.42	4.2	0.025	68.7811	40.4915	158	127	32	9227	369	-18	387	105	260	276	37	323	55	0	69	144	6	10	122	274
acc1677012	Uzbekistan	1	77	92	100	80	0.5	6.5	32	190	4.14	0.01	0.08	0.04	1	77	92	100	80	0.5	6.5	32	190	4.14	0.01	0.08	0.04	1	71	91	98	75	1	0.5	5.6	30	122	2.78	5	64	0.42	4.2	0.015	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677013	Uzbekistan	1	87	112	120	90	0.5	7.5	38	312	3.8	0.01	0.12	0.04	1	87	112	120	90	0.5	7.5	38	312	3.8	0.01	0.12	0.04	1	73	91	98	55	0.5	0.5	5.4	8	42	3.09	2	110	0.42	4.2	0.026	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677014	Uzbekistan	1	90	112	120	80	0.5	5	50	335	3.28	0.01	0.11	0.04	1	90	112	120	80	0.5	5	50	335	3.28	0.01	0.11	0.04	1	73	91	98	78	1	0.5	4.8	31	131	2.68	5	55	0.42	4.2	0.013	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677015	Uzbekistan	1	90	112	120	80	0.5	5	13	85	4.72	0	0.04	0.01	1	90	112	120	80	0.5	5	13	85	4.72	0	0.04	0.01	1	77	91	100	90	0.5	0.5	6	14	85	4.07	5	50	0.42	4.2	0.011	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677016	Uzbekistan	1	90	112	120	120	0.5	6	32	174	4.59	0.01	0.08	0.03	1	90	112	120	120	0.5	6	32	174	4.59	0.01	0.08	0.03	1	77	94	105	75	0.5	0.5	4.6	7	40	3.17	3	29	0.42	4.2	0.006	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677017	Uzbekistan	1	90	112	120	140	0	6	41	290	4.09	0.01	0.12	0.04	1	90	112	120	140	0	6	41	290	4.09	0.01	0.12	0.04	1	79	94	100	75	0.5	0.5	5.6	3	22	3.66	2	79	0.42	4.2	0.018	66.975	39.627	137	129	34	8580	338	-35	373	84	233	247	25	352	68	0	76	170	4	7	128	735
acc1677018	Uzbekistan	0	75	95	105	140	0	10	50	340	8.74	0.03	0.3	0.11	0	75	95	105	140	0	10	50	340	8.74	0.03	0.3	0.11	1	68	87	94	90	0.5	0.5	8	130	862	7.3	65	408	0.42	4.2	0.097	69.2401	41.2995	147	130	33	9071	360	-29	389	94	248	264	28	422	73	2	66	184	11	18	158	442
acc1677019	Uzbekistan	1	75	95	105	80	0.5	6	64	425	3.27	0.01	0.14	0.09	1	75	95	105	80	0.5	6	64	425	3.27	0.01	0.14	0.09	1	73	91	98	70	0.5	0.5	4.5	27	116	3.36	6	198	0.42	4.2	0.047	64.4556	39.7681	151	133	33	9647	365	-37	402	44	273	273	25	157	33	0	79	78	1	1	65	229
