	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L15	RuSmo5170	L15	Small	Russia	breeding_line	fiber_flax	85.3	71.3	13.4	458	5.6	40.1	1.3	88.3	8.2	13.5	504.6	0.6	100.7	22.1	4.3	40.3	NA	84.67	69.67	15	357.67	4.67	50.25	1.14	72.83	9.57	14.14	572.88	0.35	99.33	28.19	4.8	39.9	NA	85.75	74	11.75	355	4.75	38.25	1.02	68	10.89	15.34	774.94	0.59	97	27.74
L16	RuDip6994	L16	Small	Russia	breeding_line	fiber_flax	90.3	74	14.9	821	5.5	37.1	1.7	87.8	8.6	14.4	424.4	0.6	221.5	27.1	4.55	37.25	NA	81.83	69.83	12	432.17	3.17	33.5	1.18	73	9.57	14.19	542.49	0.66	156	36.18	5.6	36.7	NA	79.67	65.33	14.33	444.67	4	21	1.29	60.67	10.77	14.7	494.52	0.63	134.67	29.75
L17	RuLen6167	L17	Small	Russia	breeding_line	fiber_flax	90.8	74.8	16	707	6.5	52.8	1.6	87	8.7	14.5	442.7	0.5	195.2	27.5	4.26	36.75	NA	92.5	78.33	14.17	482.83	3.67	39	1.22	81.33	9.62	15.09	576.47	0.49	118	25.38	5.4	35.2	NA	89.4	76.6	12.8	463.6	3.4	22	1.23	69	11.12	15.97	601.25	0.62	133.6	28.86
L26	RuTos6790	L26	Small	Russia	elite_cultivar	fiber_flax	88.3	79.5	9.5	377	1.5	13.5	1.3	82.5	9.7	15.3	595.2	0.5	103	27.3	4.61	38.96	NA	90.2	76.2	14	408.4	4	34	1.16	75.4	10.1	15.14	618.86	0.37	124.8	30	4.8	40.1	NA	97.25	84.25	13	451.5	3.5	23	1.13	76	11.12	16.6	790.58	0.43	140	31.25
L36	RuCez7509	L36	Small	Russia	elite_cultivar	fiber_flax	91	76	15.4	643	6.6	47.9	1.5	79.4	9.6	15.1	467.1	0.5	195.1	30.4	4.88	39.21	NA	85.83	69.33	16.5	441.33	5.5	58	1.26	66.5	10.45	14.84	511.03	0.25	160.33	36.73	4.4	38.65	NA	80.5	67.5	13	352	3.5	24.5	1.05	65	10.44	14.43	786.3	0.7	125	35.74
L40	RuSur7036	L40	Small	Russia	elite_cultivar	fiber_flax	79.9	61	19.1	647	5.6	35.4	1.7	55	11.4	15.1	372.5	0.8	195	30.5	4.68	36.8	NA	86	72.5	13.5	472.25	3.5	19.5	1.24	70.25	10.32	15.03	529.27	0.47	139	30.01	4.8	36.3	NA	86.17	75.33	10.83	317	2.17	13.33	0.97	67.17	11.23	15.65	812.53	0.66	98.33	30.58
L60	Ru3177	L60	Small	Russia	elite_cultivar	fiber_flax	103.5	89.3	14.8	624	5.8	29.3	1.4	98	9.2	16	572.8	0.6	130	21	4.46	37.9	NA	89.5	75	14.5	416.33	4.33	39.5	1.23	71.5	10.49	15.38	560.68	0.41	106	26.51	5	37.5	NA	84.6	72.6	12	354.4	3.2	27.75	1	66.8	10.87	15.17	727.59	0.81	86	24.16
L98	UaCar6328	L98	Small	Ukraine	elite_cultivar	fiber_flax	99.4	84	15.4	717	4.8	27.6	1.5	70.4	12	17.6	502.2	0.6	167.2	23.5	4.4	38.7	NA	98.4	79.6	18.8	575.8	4.6	37.5	1.44	76.4	10.43	16	507.66	0.5	186.4	32.5	5	40.7	NA	89.75	74.5	15.25	452	4.5	34.5	1.28	67.5	11.17	15.84	562.47	0.57	132.5	30.3
L99	LtB967179	L99	Small	Lithuania	breeding_line	fiber_flax	109.9	95.1	14.7	1023	6	30.4	1.7	72.1	11.47	18.57	506.5	0.8	212.9	20.7	4.54	38.7	NA	99	82.33	16.67	623.5	4.83	51.75	1.37	76.67	10.76	16.41	558.54	0.46	166.67	27.39	5.24	37.9	NA	95.2	81.6	13.6	434	3.6	24.6	1.24	75.4	10.84	16.26	635.53	0.67	108.5	19.76
L101	LtB125	L101	Small	Lithuania	breeding_line	fiber_flax	72.2	56.9	15.3	499	4.8	22.1	1.7	44.6	12.8	15.7	356.5	0.8	142.7	28.9	5.27	37.96	NA	90.2	74.8	15.4	560.6	5.2	45.75	1.37	70.8	10.56	15.55	536.52	0.5	173.6	31.25	5.27	39.5	NA	89.33	76.83	12.5	515.67	3.83	26	1.33	72.17	10.65	15.76	542.46	0.71	152.33	30.04
