	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L13	ByRod5064	L13	Big	Belarus	breeding_line	fiber_flax	84.2	70.2	14	393.6	4.4	32.25	1.21	65.8	10.68	15.02	533.5	0.59	89.6	22.24	4.28	38	0	86.67	71	15.67	523.33	4.17	29	1.31	73.83	9.62	14.48	526.92	0.49	142.67	27.75	4.8	36.7	0	90.33	75.67	14.67	502.33	5.5	32.67	1.36	70.83	10.69	15.72	611.94	0.69	111.67	22.89
L18	RuKva7504	L18	Big	Russia	elite_cultivar	fiber_flax	79.3	66.8	12.3	462	4.3	31.5	1.4	82.3	8.1	13.1	448.8	0.6	133.3	28.5	4.91	39.1	100	81.83	68.33	13.5	421.33	3.67	38.25	1.23	72.83	9.38	13.97	527.1	0.46	156.33	37.37	4.8	41.4	83.3	81	68.8	12.2	406.8	3.2	24.8	1.21	61.8	11.2	15.25	561.05	0.64	148	36.71
L19	RuPer7505	L19	Big	Russia	elite_cultivar	fiber_flax	89.9	74.7	15.2	680	6.4	46.9	1.5	90.1	8.5	14.3	461.1	0.5	206.1	30.1	4.68	39.12	0	82.6	70.6	12	404.8	3.6	32.5	1.15	74.2	9.51	14.2	557.83	0.4	156.4	38.6	4.6	40.55	11.1	87.75	74	13.75	512	3.75	27	1.31	68	10.89	15.64	529.6	0.63	185.5	36.23
L20	RuDob7194	L20	Big	Russia	elite_cultivar	fiber_flax	94.3	77.3	17.7	798	7.8	64.5	1.7	82.8	9.4	15.3	463.9	0.4	219.3	27.5	4.93	38.75	0	81.2	68.4	12.8	365.6	3.2	31.5	1.12	72.6	9.42	13.89	598.21	0.51	134	37.45	5.2	39.15	0	81.75	69.75	12	281.5	2.5	17.75	0.91	63.75	10.96	14.86	830.18	0.46	98	34.89
L21	RuVos7281	L21	Big	Russia	elite_cultivar	fiber_flax	92.8	77.1	15.8	599	5.4	33.3	1.5	82.4	9.6	15.2	489.9	0.6	137.9	22.9	4.61	40.21	NA	83.4	65.2	18.2	384.2	5.4	42.5	1.23	66.2	9.87	14	497.67	0.26	123.2	32.04	4.8	39.45	NA	87.5	73.5	14	403	3.5	25.67	1.16	68	10.82	15.39	674.89	0.66	131.67	32.99
L22	RuAnt6641	L22	Big	Russia	elite_cultivar	fiber_flax	86.3	76.3	10.3	471	2.7	18.3	1.1	67.3	11.3	16	573.2	0.3	139.3	29.4	4.82	39.3	71.4	80.17	68.67	11.5	356.67	3.83	37.25	1.08	68.5	10.03	14.3	611.51	0.51	123	34.34	5.2	39.7	27.8	85.2	72.6	12.6	370.4	3.8	24.8	1.11	67	10.84	15.27	685.85	0.6	102	28.16
L23	RuKro5252	L23	Big	Russia	elite_cultivar	fiber_flax	88.6	70.6	18	666	7.2	51	1.6	76.2	9.4	14.5	431.9	0.4	173.2	25.9	4.58	38.54	62.5	84.33	67.5	16.83	420	5.33	59.5	1.26	58.17	11.62	15.47	493.38	0.47	112.33	27.22	4.8	39.35	44.4	82.33	70.33	12	322	2.67	20.33	0.97	65.67	10.71	14.81	814.59	0.75	98	30.45
L25	RuPsk5548	L25	Big	Russia	elite_cultivar	fiber_flax	84.8	63.3	16.8	504	5	30.3	1.4	70.5	8.9	13.4	406.2	0.5	137	26.8	4.08	38.21	62.5	79.4	65.8	13.6	372	3	23	1.18	60.6	10.84	14.69	517.72	0.53	107.6	29.3	5	37.05	25	84	72.33	11.67	403.67	4	26.83	1.22	67	10.83	15.35	585.48	0.49	136	33.72
L27	RuTos6646	L27	Big	Russia	elite_cultivar	fiber_flax	100.7	82.3	18.7	832	8.3	54.7	1.7	91	9.2	15.7	464.8	0.9	223.3	26.9	4.98	38.91	50	79	63.67	15.33	373	4.67	54.25	1.21	63	10.12	14.02	503.87	0.31	114.33	31.02	4.8	40.51	44.4	89	76.17	12.83	417.67	3.17	24	1.13	68.17	11.23	15.9	731.55	0.57	134.33	32.47
L28	RuPam7063	L28	Big	Russia	elite_cultivar	fiber_flax	94.6	79	14.8	698	4.6	28	1.5	73.6	10.9	16.3	498.2	0.7	169.8	24.3	4.85	38.92	75	82	67.2	14.8	320.2	3.8	37	1.06	66.8	10.09	14.17	599.19	0.4	98.4	30.5	4.6	40.3	50	87.17	73.17	14	392	4.17	26.5	1.14	67	10.95	15.43	609.31	0.67	104	26.26
L29	RuTom7506	L29	Big	Russia	elite_cultivar	fiber_flax	96.3	74.8	22.3	972	10.5	82.2	1.7	76.8	9.8	15.4	413.9	0.6	254.5	26.5	5.18	39.65	0	76.25	61.5	14.75	367.25	3.75	28.5	1.16	62.25	9.88	13.58	515.85	0.3	121	33.58	5.2	40	0	87	73.33	13.67	478.67	3.33	29	1.28	67.67	10.84	15.52	566.41	0.62	169.33	35.55
L30	RuTom7507	L30	Big	Russia	elite_cultivar	fiber_flax	89.5	74.5	15.2	554	4.8	30.5	1.3	74.2	10.1	15.1	533	0.6	171.2	31	4.83	39.71	100	82.6	69.8	12.8	329.2	3.6	27.25	1.04	71.4	9.78	14.19	638.08	0.39	127.6	39.35	4.8	38.95	91.7	89.33	75.83	13.5	454.67	4.5	25.67	1.23	66.67	11.39	16.08	589.6	0.59	168.33	37.02
L31	RuTos6262	L31	Big	Russia	elite_cultivar	fiber_flax	84.1	67.4	16.9	524	6.7	51.6	1.5	77.6	8.7	13.7	434.4	0.5	119.7	23	4.55	39.93	87.5	71.33	58.83	12.5	268.17	2.67	31.5	1.08	59.5	9.9	13.26	529.31	0.35	83	31.2	4.8	39.15	91.7	76	65	11	305.6	2.6	20	0.99	58.8	11.06	14.56	639.12	0.71	91.6	30.18
L32	RuTom5062	L32	Big	Russia	elite_cultivar	fiber_flax	86.3	66.8	19.8	676	7.5	54.3	1.6	69	9.7	14.4	388.6	0.7	153.5	22.7	5.59	39.3	75	81.5	64.75	16.75	354.5	4	32.5	1.18	66.5	9.74	13.82	514.46	0.33	106	29.67	5.2	39.2	0	72.6	60	12.6	286.8	3	26	1.05	54.2	11.11	14.18	545.21	0.56	72.8	25.55
L33	RuTom3579	L33	Big	Russia	elite_cultivar	fiber_flax	71.8	60	18.6	367	5.2	39.2	1.2	71	8.5	12.6	465.3	0.4	82	22.5	4.52	38.7	71.4	75.67	56.83	18.83	366	4.83	37.25	1.24	56.5	10.05	13.34	434.41	0.42	91	25.26	4.4	39.2	58.3	79.83	65	14.83	343.67	3.5	24.5	1.14	59.5	10.99	14.66	590.3	0.53	90	26.37
L34	Ru4172	L34	Big	Russia	breeding_line	fiber_flax	84.2	64	20.7	537	4.3	28.2	1.4	79.5	8.1	12.9	431.1	0.5	131.5	24.6	4.93	38.3	87.5	82.75	66	16.75	425.5	3	19.75	1.22	63.5	10.39	14.43	513.9	0.58	135.5	31.83	4.8	37.5	100	79.4	65	14.4	400.8	3.6	21	1.25	57.2	11.45	15.1	530.03	0.61	121.6	30.35
L35	RuViz7508	L35	Big	Russia	elite_cultivar	fiber_flax	92.9	78.7	14.3	716	5.3	38.7	1.5	77.7	10.2	15.8	501.2	0.6	222.3	31.2	5.24	38.56	28.6	81.17	68	13.17	460.17	3.5	45	1.26	67.67	10.08	14.45	499.29	0.52	168.67	36.69	4.6	39.8	33.3	82.75	72	10.75	344.5	2.25	15	1.01	65.75	10.97	15.19	646.08	0.6	129.5	37.66
L37	RuPol7448	L37	Big	Russia	elite_cultivar	fiber_flax	95.4	81	14.8	589	4.2	27.4	1.3	77.4	10.5	16.1	548.5	0.5	179.6	30.6	5.06	38.8	0	85.6	69.6	16	516	4.2	37.75	1.31	66.6	10.46	14.92	493.99	0.39	176.4	34.59	4.8	37.9	8.3	85.25	72.25	13	399.5	3.5	25.75	1.16	68	10.63	15.14	728.73	0.63	134	34.23
L38	RuUni7510	L38	Big	Russia	elite_cultivar	fiber_flax	98.2	80.3	18.3	675	5.8	35.5	1.4	85.2	9.5	15.4	537.7	0.5	192.8	28.6	4.72	39.1	0	81	67.5	13.5	374.25	4	28.5	1.17	66.75	10.13	14.34	516.81	0.56	149.5	40.22	4.8	39.9	0	81.2	71	10.2	307.2	2.8	19.6	0.96	64.4	11.05	15.1	786.21	0.6	114.4	37.03
L39	RuTon5169	L39	Big	Russia	elite_cultivar	fiber_flax	76	59.4	16.8	446	4.3	32.6	1.4	64.3	9.3	13.2	406.3	0.5	135.5	30.6	5.21	39.65	0	81.17	67	14.17	406.67	4	41.25	1.18	65.67	10.22	14.37	524.25	0.52	143.33	35.58	5	38.55	0	82	67.5	14.5	388.5	3.5	22.25	1.22	62.5	10.8	14.86	560.41	0.61	127.5	33.9
L41	RuAle7010	L41	Big	Russia	elite_cultivar	fiber_flax	100.4	81	19.3	840	7.4	47.7	1.6	82.3	10	16	480.8	0.6	226.9	27.2	5.14	37.9	0	69.25	59	10.25	204	3.25	17.5	0.9	52.5	11.32	14.07	613.22	0.29	75.5	36.81	4.8	39.4	22.2	77.75	59.75	18	387	6.25	39	1.3	54	11.08	14.4	461.43	0.41	120	31.2
L42	RuFak4613	L42	Big	Russia	elite_cultivar	fiber_flax	93.4	79.6	14.4	629	4.8	31.2	1.4	68.8	11.7	16.8	515.3	0.6	190.6	30.3	4.26	38.21	0	89	77.75	11.25	390.75	2.75	17.25	1.12	73	10.65	15.64	701.32	0.54	143	37.37	5	37.95	0	80.67	71.33	9.33	323	2.33	13.33	0.98	67.67	10.54	14.8	830.33	0.56	121	37.67
L43	RuNad7199	L43	Big	Russia	elite_cultivar	fiber_flax	92.1	78.5	14	663	5.1	33.3	1.5	66.6	11.9	17	506.3	0.7	192.4	29.2	5.18	38.56	25	87.33	71.83	15.5	529.83	4.5	46	1.33	68.5	10.49	15.18	506.5	0.31	168	32.17	5	39.2	0	74.6	63.2	11.4	362.8	3.4	20.6	1.17	59	10.71	14.33	520.8	0.7	124.4	34.5
L44	RuAtl7511	L44	Big	Russia	elite_cultivar	fiber_flax	107.2	93.4	14.2	750	4.8	24.4	1.5	80.2	11.7	18.2	611.6	0.7	168.2	22.6	4.26	38.9	12.5	103	89.67	13.33	697.67	6	45	1.45	86.67	10.35	16.92	581	0.55	162.67	23.56	4.6	39.4	11.1	95.6	85.4	10.2	399.2	2.6	18.8	1.05	73.4	11.73	17.04	830.2	0.67	97.6	24.59
L45	RuAle5168	L45	Big	Russia	elite_cultivar	fiber_flax	91.2	75.2	16.4	717	5.4	35	1.6	71.2	10.7	15.9	427.9	0.7	205	28.6	4.4	37.9	0	77	64.8	12.2	306.8	3.2	24.25	1.14	59.8	10.85	14.55	521.68	0.41	105.2	34.45	4.58	38.9	33.3	73	64.5	8.5	285.5	2.25	16.5	0.96	58.25	11.08	14.5	675.17	0.65	99.5	34.74
L46	RuTve6388	L46	Big	Russia	elite_cultivar	fiber_flax	92.7	76.5	16.8	700	6	30	1.6	72.2	10.7	16	463.8	0.5	193	28	4.2	39.43	0	82	72.2	9.8	323	2.6	24.75	1.06	70.6	10.23	14.75	652.34	0.45	116.4	37.22	4.8	40.4	33.3	78.75	68.25	10.5	306.5	2.25	16	0.95	62.25	10.97	14.76	812.14	0.72	106	35.06
L47	RuZar6387	L47	Big	Russia	breeding_line	fiber_flax	80.3	66.2	14.2	449	6.2	31.8	1.3	71.3	9.3	13.8	498.7	0.4	95.7	21.8	4.41	37.9	0	76.2	60.2	16	335.2	5.2	41.33	1.17	60.4	9.98	13.53	485.12	0.27	89.6	26.78	4.58	38.3	0	72.83	60.33	12.5	293.67	4	23.83	1.08	57.8	10.5	13.81	572.64	0.49	79.67	27.17
L48	RuNov4932	L48	Big	Russia	elite_cultivar	fiber_flax	87	72.5	14.5	526	6.5	46.5	1.4	70	10.4	15.2	475.8	0.7	109	20.5	4.17	37.9	37.5	85	74	11	334.67	2.33	14	1.09	70.33	10.52	15.15	647.31	0.44	89.6	26.78	4.6	38.5	15.3	82	69.8	12.2	364.8	3.6	22.4	1.12	65.6	10.67	14.89	696.73	0.68	108	28.67
L49	RuSve2843	L49	Big	Russia	elite_cultivar	fiber_flax	87.3	72.8	14.8	593	7.5	49.5	1.5	82	8.9	14.3	467.9	0.4	124	20.9	4.2	37.4	42.9	73.6	58.2	15.4	330.8	4.4	31.5	1.15	56.6	10.25	13.51	445.86	0.47	95.6	28.05	5	38.5	36.1	66.75	58	8.75	244	1.75	12	0.94	52.75	11.01	13.8	691.4	0.67	73	30.94
L50	RuL1326835	L50	Big	Russia	breeding_line	fiber_flax	86	73.6	13	467	4.2	22	1.3	83	8.9	14.2	511.8	0.6	146.4	31.4	4.89	38.37	37.5	86.67	73.67	13	387.33	3.67	25	1.16	72.67	10.14	14.93	603.47	0.38	143.33	36.85	5	38	0	80.75	69.75	11	373.5	3.75	28.25	1.1	64.25	10.86	14.99	672.49	0.77	148	40.08
L51	RuAP75326	L51	Big	Russia	breeding_line	fiber_flax	92.6	77.2	16.2	688	3.2	19	1.5	86.4	9	14.8	525.2	0.6	186.8	26.9	4.62	36.95	0	89.83	74.17	15.67	524.33	5.33	54.5	1.37	70.83	10.51	15.45	505.65	0.5	184.67	35.67	4.8	37.1	31.1	86.5	73.33	13.17	448.33	3.83	27.33	1.21	69.33	10.58	15.25	586.62	0.83	153.33	33.85
L52	RuSla4832	L52	Big	Russia	elite_cultivar	fiber_flax	97	75.9	21.7	816	11.7	72	1.7	80.7	9.5	15.3	423.2	0.6	161.3	19.9	4.53	37.52	37.5	76.25	63.75	12.5	387.75	2.75	21	1.25	61	10.46	14.3	483.14	0.63	144.5	37.3	4.6	38.4	72.2	83.2	70.8	12.4	380	3.2	18.2	1.16	60.6	11.66	15.71	587.28	0.63	123.2	32.33
L53	RuKLN5327	L53	Big	Russia	breeding_line	fiber_flax	76.7	56.7	20.1	373	3.3	16.3	1.4	61.7	9.3	13	397.5	0.4	92.7	25.1	4.08	37.25	0	71.6	53.6	18	338.6	5.6	34.5	1.26	51.4	10.43	13.31	401.39	0.46	92.8	27.23	4.6	37.3	16.7	71.17	61.17	10	295	3	18.3	1.07	56.33	10.87	14.14	555.1	0.63	89.67	30.88
L54	RuG175319	L54	Big	Russia	breeding_line	fiber_flax	90	75.4	15.6	663	4.6	38.4	1.5	84.8	8.9	14.6	473	0.5	200	30.3	4.59	37.25	0	85.83	72.83	13	478.67	3.83	37.25	1.29	70	10.41	15.18	519.35	0.43	173.33	36.36	5	38	0	86.8	73.8	13	427.2	3.8	18.4	1.18	67	11.07	15.62	650.05	0.63	148	34.79
L55	RuG185317	L55	Big	Russia	breeding_line	fiber_flax	87.3	75.5	12	501	3.3	24.3	1.3	83	9.2	14.6	524.4	0.5	144.3	28.8	4.46	37.94	25	86.17	72.67	13.5	508.67	4.5	52.25	1.31	68.83	10.57	15.3	510.59	0.37	177	36.01	5	37.7	16.7	84	69.8	14.2	390	2.8	18.5	1.17	63.8	10.94	15.12	604.52	0.61	114	29.02
L56	RuImp6353	L56	Big	Russia	elite_cultivar	fiber_flax	98	85	13.4	524	3	15.6	1.3	85.8	10	16	601.8	0.6	133.4	25.5	5.16	39.9	37.5	90.5	77.25	13.25	503.5	4.75	29.75	1.36	74	10.45	15.7	531.81	0.57	158.5	31.81	5.2	39.4	36.1	85.4	74.2	11.2	401.6	3.6	18.6	1.36	66.6	11.15	15.89	582.93	0.59	116.4	28.73
L57	RuC104830	L57	Big	Russia	elite_cultivar	fiber_flax	98.8	80.4	NA	847	8.6	46.6	1.7	81.4	9.9	16	450.5	0.5	182.8	21.8	4.69	37.5	50	82.5	69.25	13.25	387	3.5	25	1.23	67.5	10.25	14.66	528.96	0.31	111.5	28.35	4.8	39.7	20.2	82.67	71.67	11	318.67	2.67	18.7	0.86	66.67	10.77	14.87	913.3	0.83	80.67	25.22
L58	RuFen7512	L58	Big	Russia	elite_cultivar	fiber_flax	98.8	79.8	19.2	745	10	49.6	1.6	74.4	10.8	16.4	471.4	0.4	151.2	20.6	4.85	39.2	25	90.5	77.17	13.33	373.83	3.83	33	1.17	72.83	10.59	15.59	610.35	0.57	103	27.6	5.4	38.1	0	88.4	73.8	14.6	358	4.2	18.8	1	66.8	11.05	15.41	973.08	0.92	88.4	25.33
L59	RuSou4623	L59	Big	Russia	elite_cultivar	fiber_flax	97.7	78.3	19.2	730	8.5	41.5	1.6	82	9.6	15.5	449.8	0.6	153.3	20.9	4.72	38.78	37.5	86.5	70.33	16.17	471.83	5.5	59.5	1.34	65.83	10.68	15.18	491.7	0.43	123	25.94	5	40.72	30.5	91.5	76.33	15.17	557.33	7.17	18.9	1.54	70.67	10.82	16.06	463.69	0.8	128.67	23.28
L61	RuK64185	L61	Big	Russia	elite_cultivar	fiber_flax	101	78.3	22.7	985	10	27	1.8	73	10.7	16.5	407.8	0.5	148	14.9	4.96	39.2	37.5	89.5	75	14.5	416.33	4.33	39.5	1.23	71.5	10.49	15.38	560.68	0.41	106	26.51	5	37.5	0	84.6	72.6	12	354.4	3.2	18.1	1	66.8	10.87	15.17	727.59	0.81	86	24.16
L62	RuVas4601	L62	Big	Russia	elite_cultivar	fiber_flax	104.3	81.4	23.1	1014	10.7	46.7	1.8	89	9.2	15.7	459.9	0.8	238.4	23.3	4.71	39.11	0	82	70	12	367.25	4.5	29	1.14	66	10.6	14.88	606.65	0.4	87.33	32.36	5	40	8.3	85.8	71.6	14.2	406.8	5.4	18.11	1.22	65	11.07	15.44	554.3	0.52	124	30.59
L63	RuSin6261	L63	Big	Russia	elite_cultivar	fiber_flax	85.9	68.1	18	571	9.1	45.9	1.4	72.7	9.5	14.3	476	0.5	129.6	22.7	5.18	38.56	12.5	85	73.25	11.75	287.75	2	12.5	1.01	69.5	10.53	15.01	697	0.46	86.5	30.44	5	40.1	8.3	94.17	78.83	15.33	477.67	4.17	18.12	1.53	69.33	11.39	16.68	509.82	0.7	125	26.44
L64	RuBel6313	L64	Big	Russia	elite_cultivar	fiber_flax	98.5	78.8	18.5	763	7	44.3	1.5	79.3	10	15.7	496.7	0.6	172.5	22.9	5.28	39.8	87.5	82.4	69.4	13	345.8	2.8	19.75	1.09	67.4	10.3	14.56	597.94	0.34	97.2	28.62	4.6	39	100	82.83	67.67	15.17	392.33	4.33	18.13	1.17	61.67	11.03	14.98	582.69	0.64	106	27.26
L65	RuSin7195	L65	Big	Russia	elite_cultivar	fiber_flax	81.3	65.5	15.8	447	4.3	24.5	1.4	72	9.1	13.7	461.4	0.5	117.8	25.6	4.96	39.2	28.6	85.83	73.5	12.33	416.33	3	35.5	1.19	71.5	10.3	15.06	578.7	0.46	139.33	33.95	5	38.6	28.3	87.83	73.67	14.17	463.33	4.67	18.14	1.39	59.5	12.4	16.73	534.96	0.85	130.33	29.14
L66	RuF217513	L66	Big	Russia	breeding_line	fiber_flax	117	93	24.5	1080	9.5	53.5	1.9	95	9.8	17.3	477.4	0.4	258	23.9	4.55	37.72	71.4	80.5	66.5	14	459.5	5	39	1.28	62.5	10.64	14.71	466.55	0.54	141	31.27	5.2	38	52.7	92.5	79.5	13	382.5	3.25	18.15	1.33	68	11.7	16.75	579.02	0.82	106	28.29
L67	ByGra7434	L67	Big	Belarus	elite_cultivar	fiber_flax	96.3	82.5	13.8	713	4.8	21.5	1.5	78.5	10.5	16.4	547.7	0.6	191.5	27.1	4.79	39.3	0	82.33	71.83	10.5	325.17	2.33	20.75	1.04	68	10.57	14.94	681.97	0.56	67.14	15.08	5.4	38.2	16.7	88.6	74	14.6	474.4	3.2	18.16	1.28	66.6	11.13	15.78	588.93	0.92	143.6	30.55
L68	ByLas7043	L68	Big	Belarus	elite_cultivar	fiber_flax	80.2	63.6	16.6	492	4	18.6	1.6	41	15.5	18.1	420.8	0.9	118.4	24.3	5.21	39.1	0	83.17	68.17	15	504.5	4.17	45.75	1.37	64	10.65	14.98	475.88	0.52	75.63	41.9	4.8	38.2	0	79.6	68	11.6	342.8	2.8	18.17	1.2	59.4	11.55	15.4	597.02	0.68	99.6	28.89
L69	ByVes7440	L69	Big	Belarus	elite_cultivar	fiber_flax	97.8	80	17.8	929	6.5	45	1.7	77.5	10.3	16.3	440.4	0.8	260.3	28.3	5.3	39.95	0	87.5	73.5	14	471.17	3.67	36	1.26	70	10.51	15.27	535.76	0.52	180	38.28	5.4	40.35	0	87.25	73.75	13.5	344	2.75	18.18	1.07	63	11.83	16.02	663.21	0.48	103.5	30.6
L70	ByLev6893	L70	Big	Belarus	elite_cultivar	fiber_flax	82.8	69.4	15	569	3.8	27.6	1.5	70	10	14.7	449	0.6	147.6	25.9	3.76	37.9	33.3	80.25	65	15.25	477	3.75	20.75	1.32	62	10.49	14.51	450.68	0.52	147.5	30.98	5.4	41.2	0	74.75	59.75	15	410	3	18.19	1.25	55.75	10.77	14.12	457.56	0.62	116	28.58
L71	ByGro7433	L71	Big	Belarus	elite_cultivar	fiber_flax	95.9	79.4	16.9	775	5.3	38.6	1.6	76	10.5	16.2	462	0.6	190.1	24.8	5.12	38.9	12.5	90.25	76.5	13.75	492.25	3.25	27	1.29	71.75	10.67	15.71	551.19	0.52	148.5	30.2	4.9	38.3	0	93.17	79.5	13.67	435.67	3.5	18.2	1.18	64.5	12.57	17.19	653.89	0.68	123.33	28.84
L72	ByTal7438	L72	Big	Belarus	elite_cultivar	fiber_flax	100.5	82.8	35.8	695	4	24.3	1.5	81	10.2	16.2	539.3	0.3	174.3	24.8	5.07	39.3	0	100	83.17	16.83	709.17	5.17	61	1.48	78.67	10.58	16.48	531.11	0.5	225.33	31.99	5.4	38.2	0	92	81.17	10.83	346.67	1.5	18.21	1.03	69.33	11.74	16.62	733.16	0.51	113	32.56
L73	ByLad7432	L73	Big	Belarus	elite_cultivar	fiber_flax	100.1	86.1	14.1	741	3.7	28.4	1.5	82.4	10.5	16.7	551.3	0.7	182.1	24.7	4.71	37.9	14.3	84.25	74.25	10	364.5	1.75	8	1.07	70.5	10.53	15.16	653.17	0.49	117	33.54	5	38	0	94.33	82.33	12	557.67	2	18.22	1.31	72.83	11.33	16.75	606.86	0.77	165	29.98
L74	ByRub7429	L74	Big	Belarus	elite_cultivar	fiber_flax	97.2	82.7	14.8	730	5.7	33	1.6	75	11.1	17	458	0.7	168.3	23.1	4.72	39.34	37.5	89	76	13	447.33	3.67	39.5	1.2	71.33	10.67	15.57	578.28	0.37	149	33.49	5	38	41.7	86.25	75.75	10.5	339	3	18.23	1.01	64.5	11.87	16.17	657.8	0.54	108	31.98
L76	ByE686267	L76	Big	Belarus	elite_cultivar	fiber_flax	97.7	83.3	14.4	747	4.9	29.5	1.5	78.4	10.6	16.6	499.1	0.8	183.7	25	4.82	37.85	50	86.17	72.17	14	386.83	3.5	34.5	1.16	68.67	10.53	15.06	570.45	0.4	122.33	31.92	5.2	37.9	75	82	69.5	12.5	366.5	3.5	18.25	1.19	60.5	11.52	15.52	568.56	0.49	115.5	31.69
L77	ByK656266	L77	Big	Belarus	elite_cultivar	fiber_flax	90.2	70.8	20.2	581	7	34	1.6	67.8	10.5	15.4	403.9	0.4	132.8	23	4.74	37.56	12.5	86.2	72	14.2	424	3.4	24.5	1.25	68.4	10.53	15.13	540.21	0.45	128.8	30.71	5.2	38.2	0	85	73.17	11.83	434	4.5	18.26	1.24	66	11.1	15.63	605.05	0.58	128.67	29.67
L78	BySig6268	L78	Big	Belarus	elite_cultivar	fiber_flax	92.5	76	17	735	8	55	1.6	79	9.6	15.3	454	0.5	174.5	23.4	4.1	37.3	0	81.4	69	12.4	347	3.4	29.25	1.14	65	10.62	14.8	586.74	0.4	116	33.51	5	36.4	0	79	67.25	11.75	351.5	3.25	18.27	1.1	59.5	11.32	15.07	592.42	0.71	108	30.92
L79	BySog6329	L79	Big	Belarus	elite_cultivar	fiber_flax	99	84	15	571	4	21	1.4	77.2	10.9	16.7	581.2	0.3	139.8	24.3	4	37.2	25	90	78.33	11.67	447.67	3.33	27.33	1.29	74.67	10.49	15.76	573.77	0.42	140.67	31.21	4.4	38.5	11.1	87.2	75.6	11.6	334.8	2.8	18.28	1.12	59.6	12.72	16.86	665.14	0.6	99.6	29.46
L80	ByMog4615	L80	Big	Belarus	elite_cultivar	fiber_flax	99	78.3	20.7	1000	12	84.3	1.8	71.3	11	16.7	404.2	0.5	248	25	4.66	38.5	25	90	75.5	14.5	462.25	4	30	1.27	71.5	10.56	15.51	563.69	0.47	135	29.63	4.8	37.5	19.4	93.75	77.75	16	479.5	4	18.29	1.24	63.5	12.25	16.86	604.88	0.56	135.5	29.12
L81	ByBel4178	L81	Big	Belarus	elite_cultivar	fiber_flax	91	72.3	19	645	6.3	39.5	1.5	64.5	11.3	16	447.4	0.5	140	22	4.76	38.35	62.5	85.17	71.5	13.67	396.33	3.17	33.25	1.11	68	10.52	14.93	579.77	0.45	107.67	27.46	5.2	37.2	83.3	89.67	76	13.67	438.33	3.5	18.3	1.23	62.83	12.15	16.62	579.58	0.61	120	27.79
L82	ByA2B4934	L82	Big	Belarus	breeding_line	fiber_flax	102.2	86	16.6	976	20	36.4	1.7	78.8	11	17.2	466.5	0.6	239	24.5	4.95	36.56	62.5	94.8	82.2	12.6	515.2	3	26	1.21	78.2	10.51	16.07	623.21	0.56	172.4	33.9	5.6	37.2	75	93.17	81.67	11.5	444.67	2.17	18.31	1.2	71.5	11.43	16.63	640.02	0.69	142.33	32.25
L83	ByLir6332	L83	Big	Belarus	elite_cultivar	fiber_flax	91.7	74.3	17.3	723	6.3	44.3	1.6	69	10.9	16	428.6	0.5	171.7	23.5	4.24	39.2	0	90.5	80	10.5	440	2.25	20.5	1.09	72	11.19	16.19	654.73	0.42	154.5	35.8	4.6	37.9	8.3	94	82	12	493.2	4	18.32	1.3	73.2	11.2	16.7	606.7	0.5	148	30.4
L85	ByOrs4177	L85	Big	Belarus	elite_cultivar	fiber_flax	98.2	78.4	20.4	712	8.2	27.6	1.6	74	10.7	16.2	453.3	0.5	123.6	17.4	4.58	37.4	0	86.67	70.67	16	429.33	5.67	39	1.2	68.33	10.32	14.81	556.91	0.49	112.67	26.59	4.1	39.2	0	92.67	77.5	15.17	450.67	5.67	18.33	1.29	64.5	12.05	16.76	571.44	0.51	99.67	22.26
L86	ByDas5309	L86	Big	Belarus	elite_cultivar	fiber_flax	84.6	69	15.6	522	5	32.2	1.4	66.6	10.4	14.9	438.5	0.4	124.8	24.1	4.94	35.55	0	83.8	69.4	14.4	465.6	4	42.25	1.27	64.6	10.75	15.06	529.24	0.52	141.6	30.85	4.6	37.6	0	82.5	69	13.5	363.5	3.5	18.34	1.18	58.25	11.96	15.76	613.75	0.58	112	31.26
