VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0729	8	34	2.89037175789616	1.60943791243410	14	3	7	3	5	7	5	9	5	7	5	1	2	45	13	2.39789527279837	3.23474917402449	4.63472898822964	4.77912349311153	2.66722820658196	7	18	8	3	10	4.78749174278205
vir_0730	7	34	2.99573227355399	1.79175946922806	14	3	7	3	5	7	5	5	3	1	5	1	1	50	27	1.50407739677627	1.80828877117927	3.04452243772342	3.55534806148941	1.25276296849537	7	20	8	3	14	4.94164242260930
vir_0731	7	35	2.99573227355399	1.94591014905531	14	3	7	3	5	7	5	9	5	7	5	1	1	45	21	2.15176220325946	2.53369681395743	3.87120101090789	3.93182563272433	1.87180217690159	7	17	8	3	14	5.07517381523383
vir_0733	7	40	2.77258872223978	1.79175946922806	19	3	5	3	5	7	7	7	5	1	5	1	1	60	19	2.68102152871429	2.65324196460722	4.02535169073515	4.00733318523247	2.10413415427021	7	19	10	3	14	5.04342511691925
vir_0734	7	35	2.99573227355399	2.19722457733622	13	3	5	3	5	7	5	9	3	7	7	2	1	50	22	2.14006616349627	2.39789527279837	4.34380542185368	4.31748811353631	2.42480272571830	7	20	8	3	14	5.01063529409626
vir_0744	8	35	2.89037175789616	2.07944154167984	14	3	5	5	3	7	7	9	3	7	7	1	1	50	13	2.11625551480255	3.34990408727461	4.70953020131233	4.99721227376412	2.95491027903374	7	18	7	3	10	4.82831373730230
vir_0745	8	32	3.04452243772342	2.48490664978800	14	3	5	5	5	7	5	9	3	7	7	2	2	55	22	2.19722457733622	2.23001440015921	3.71357206670431	3.68887945411394	1.84054963339749	7	19	10	3	14	5.24702407216049
vir_0746	8	47	2.30258509299405	2.19722457733622	18	3	5	5	3	7	5	9	3	7	7	1	1	50	19	2.89591193827178	3.10458667846607	4.61512051684126	4.46590811865458	2.30258509299405	7	18	9	3	10	5.01063529409626
vir_0747	7	34	2.99573227355399	2.30258509299405	12	3	7	5	3	7	5	7	5	7	5	1	1	40	17	1.52605630349505	1.58923520511658	3.40119738166216	3.36729582998647	1.36097655313560	7	17	7	3	10	4.70048036579242
vir_0748	7	34	2.94443897916644	2.07944154167984	13	3	7	5	5	7	5	5	3	7	5	1	1	50	25	2.01490302054226	2.66722820658196	3.85014760171006	4.12713438504509	2.06686275947298	7	20	10	3	14	4.94164242260930
vir_0749	7	36	2.89037175789616	2.19722457733622	13	3	7	5	5	7	7	7	5	7	5	1	2	53	27	1.80828877117927	2.54160199346455	3.89182029811063	4.00733318523247	2.17475172148416	7	20	10	3	10	5.13579843705026
vir_0754	7	39	3.09104245335832	2.56494935746154	15	3	5	5	5	7	7	7	5	7	5	2	2	55	27	2.16332302566054	2.23001440015921	3.63758615972639	3.98898404656427	2.23001440015921	7	20	8	3	10	5.13579843705026
vir_0756	7	36	2.89037175789616	2.07944154167984	13	3	5	5	5	7	7	9	5	7	7	1	1	56	26	2.24070968927596	2.70136121295141	4.09434456222210	4.23410650459726	2.32238772029023	7	18	8	3	14	5.10594547390058
vir_0757	7	33	3.04452243772342	2.39789527279837	13	3	7	5	5	7	5	9	5	7	7	1	1	56	25	1.28093384546206	1.91692261218206	3.25809653802148	3.33220451017520	1.25276296849537	7	19	9	3	14	4.70048036579242
vir_0758	7	37	2.83321334405622	2.39789527279837	12	3	7	5	5	7	5	7	5	7	7	1	1	66	39	2.37954613413017	2.58021682959233	3.95124371858143	4.12713438504509	2.20827441352280	7	20	10	3	14	5.16478597392351
vir_0760	7	38	2.77258872223978	2.48490664978800	12	3	7	5	5	7	5	7	5	7	7	1	1	60	32	1.94591014905531	1.38629436111989	3.36729582998647	3.40119738166216	1.48160454092422	7	20	9	3	10	5.07517381523383
vir_0761	7	36	2.89037175789616	2.83321334405622	16	3	7	5	5	7	9	7	5	7	7	1	1	50	27	1.82454929205105	1.97408102602201	3.61091791264422	3.43398720448515	1.74046617484050	7	19	9	3	10	5.24702407216049
vir_0762	8	37	2.89037175789616	2.07944154167984	13	3	5	3	3	7	5	7	5	7	7	2	2	50	20	2.12823170584927	2.54944517092557	4.02535169073515	4.33073334028633	2.24070968927596	7	20	8	3	10	5.01063529409626
vir_0763	8	35	2.89037175789616	2.48490664978800	12	3	5	5	3	7	9	9	5	7	7	1	2	53	23	2.28238238567653	2.87356463957978	4.40671924726425	3.93182563272433	2.49320545260270	7	19	8	3	10	4.94164242260930
vir_0764	8	33	2.94443897916644	2.07944154167984	13	3	5	3	5	7	7	9	3	7	5	1	2	60	23	2.26176309847379	2.94443897916644	4.35670882668959	4.58496747867057	2.58021682959233	7	20	10	3	10	4.94164242260930
vir_0766	7	36	2.83321334405622	2.48490664978800	7	3	5	3	3	7	5	3	3	1	5	2	1	55	29	1.96009478404727	2.10413415427021	3.82864139648910	3.73766961828337	1.52605630349505	7	18	8	3	10	5.04342511691925
vir_0767	7	36	2.83321334405622	2.48490664978800	7	3	5	5	5	7	7	3	3	1	5	1	1	56	27	2.27212588550934	3.15700042115011	4.52178857704904	4.75359019110636	2.68784749378469	7	20	9	3	10	5.04342511691925
vir_0768	8	33	2.94443897916644	2.48490664978800	7	3	7	3	5	7	5	9	7	7	7	2	1	48	20	2.16332302566054	2.76000994003292	4.26267987704132	4.77068462446567	2.52572864430826	7	19	8	3	14	4.97673374242057
vir_0769	7	35	2.94443897916644	2.63905732961526	7	3	7	3	3	7	7	9	3	7	5	1	2	40	20	1.93152141160321	1.56861591791385	3.29583686600433	3.33220451017520	1.28093384546206	7	18	8	3	10	5.01063529409626
vir_0771	7	35	2.94443897916644	2.48490664978800	10	3	7	3	3	7	7	9	5	7	5	1	2	53	21	2.86789890204411	1.96009478404727	4.82028156560504	5.13579843705026	3.38777436133001	7	19	9	3	10	5.24702407216049
vir_0772	7	33	3.04452243772342	2.48490664978800	10	3	7	3	5	7	7	9	3	7	5	2	1	46	20	1.91692261218206	2.63188884013665	4.00733318523247	4.17438726989564	2.19722457733622	7	17	9	3	14	5.16478597392351
vir_0890	7	34	2.99573227355399	2.39789527279837	8	3	7	3	5	7	9	3	3	1	5	2	1	54	23	1.87180217690159	2.60268968544438	3.97029191355212	4.31748811353631	2.24070968927596	7	19	9	3	14	4.94164242260930
vir_1029	7	36	2.83321334405622	2.19722457733622	10	3	7	3	5	7	7	9	5	7	7	1	1	50	20	1.77495235091167	2.21920348405499	3.68887945411394	3.76120011569356	1.60943791243410	7	18	9	3	14	4.94164242260930
vir_1210	8	33	2.99573227355399	2.39789527279837	7	3	7	3	5	7	7	9	3	7	5	1	1	53	22	1.56861591791385	2.37024374146786	3.58351893845611	3.85014760171006	1.74046617484050	7	20	10	3	10	5.10594547390058
