VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0676	8	39	14	28	17	1	3	5	5	3	3	9	5	7	7	2	1	55.0	26.0	18.9	5.7	12	4.0	2.3	3	40	9	5	1	400
vir_0691	8	34	19	27	14	3	5	3	5	7	5	9	5	7	5	2	1	45.0	18.0	6.6	5.8	34	35.0	2.9	7	19	7	3	10	105
vir_0704	7	40	14	27	13	3	5	5	5	7	7	9	5	7	5	1	1	53.0	19.0	13.4	10.2	53	44.0	6.2	7	20	10	3	11	180
vir_0735	8	34	19	27	13	3	5	5	3	7	7	7	5	7	7	2	1	45.0	17.0	4.3	7.6	36	49.0	4.9	7	20	8	3	12	155
vir_0736	7	35	19	27	13	3	7	5	3	7	9	9	5	7	7	2	1	55.0	18.0	6.6	15.8	83	100.0	10.9	7	19	9	3	10	145
vir_0737	8	34	18	27	15	3	5	3	3	7	7	7	3	7	5	2	1	45.0	17.0	3.8	13.1	67	64.0	8.3	7	18	9	3	13	150
vir_0738	8	39	16	25	18	3	3	5	5	3	5	7	3	7	5	2	2	60.0	27.0	11.7	12.0	38	22.0	5.3	7	25	11	3	11	225
vir_0742	7	35	19	27	13	3	7	5	5	7	9	7	3	7	5	2	2	50.0	19.0	5.0	11.7	47	56.0	7.7	7	18	8	3	10	170
vir_0765	8	35	17	26	13	3	7	5	5	7	9	9	3	7	5	2	2	55.0	17.0	5.7	11.7	55	49.0	7.3	7	18	8	3	11	145
vir_0773	8	39	21	21	11	3	7	7	3	3	7	9	5	1	5	1	1	40.0	21.0	4.3	4.6	38	30.0	2.7	7	15	6	3	10	115
vir_0774	8	39	14	28	17	1	3	3	7	3	9	9	5	1	5	2	1	60.0	27.0	10.4	9.9	26	15.0	4.7	7	25	12	5	1	415
vir_0776	8	40	12	30	19	1	3	3	5	3	9	9	5	1	5	2	1	63.0	27.0	19.7	10.4	23	17.0	7.4	5	26	15	5	1	415
vir_0787	8	43	24	11	16	3	5	5	5	7	9	9	5	1	5	2	2	56.0	30.0	9.3	2.0	10	11.0	3.0	7	20	11	7	12	290
vir_0794	8	42	21	19	20	1	3	3	5	3	9	9	5	7	7	2	2	60.0	30.0	13.8	12.6	21	16.0	7.8	5	24	13	3	1	445
vir_0795	8	41	22	16	17	3	3	5	3	7	9	9	3	1	5	1	2	53.0	26.0	8.7	10.8	36	28.0	7.0	7	22	11	3	11	225
vir_0796	8	39	21	22	12	3	3	5	3	3	3	9	3	7	5	1	1	50.0	25.0	10.7	10.3	43	39.0	6.7	7	20	9	3	11	220
vir_0797	8	37	23	22	14	1	3	5	3	3	3	9	3	1	5	2	2	50.0	22.0	8.4	6.6	37	27.0	3.7	7	16	6	5	1	160
vir_0798	8	43	24	14	13	1	3	5	5	3	9	9	3	1	5	2	2	53.0	33.0	17.6	19.3	50	32.0	11.3	7	27	10	5	1	400
vir_0799	8	39	28	16	15	1	3	3	5	3	3	9	3	1	5	2	2	50.0	20.0	7.2	8.3	25	22.0	6.0	5	25	12	5	1	150
vir_0802	8	39	28	19	14	3	3	3	3	3	3	9	3	1	5	1	1	55.0	21.0	16.1	26.0	71	59.0	16.3	7	24	10	7	12	205
vir_0804	9	47	19	20	16	1	3	3	5	3	3	9	3	1	5	2	1	60.0	19.0	32.0	43.4	59	34.0	11.9	7	27	12	5	1	330
vir_0807	8	38	17	25	14	1	3	5	3	3	3	9	3	1	5	2	2	45.0	21.0	8.0	14.8	54	40.0	9.3	7	20	8	5	1	190
vir_0810	8	35	20	18	10	1	3	3	5	3	5	7	3	1	5	2	1	45.0	27.0	3.5	3.4	15	14.0	1.9	7	20	10	5	2	135
vir_0813	8	37	18	5	37	1	3	5	5	3	3	9	5	7	5	1	2	55.0	22.0	8.9	9.5	47	43.0	5.7	7	20	9	3	1	95
vir_0815	8	38	22	22	16	1	3	5	5	3	5	9	5	7	5	2	1	63.0	26.0	9.3	10.0	28	14.0	2.4	7	19	10	3	1	125
vir_0816	8	36	24	22	16	1	3	5	5	3	5	9	5	7	5	2	1	53.0	20.0	9.1	15.6	68	56.0	6.7	7	20	10	3	1	140
vir_0833	8	41	20	22	17	3	3	3	3	7	5	9	5	7	7	2	1	50.0	26.0	12.0	9.0	46	35.0	5.2	7	22	10	3	14	150
vir_0850	8	39	16	27	12	1	3	3	5	3	5	9	3	7	7	2	2	50.0	22.0	13.0	12.4	36	17.0	6.4	7	26	11	5	1	190
vir_0851	8	39	21	22	15	3	5	5	5	7	5	9	3	7	5	2	2	53.0	20.0	12.9	25.7	97	94.0	15.9	7	22	8	3	10	190
vir_0853	8	39	21	21	14	1	3	3	5	3	3	9	3	7	5	2	2	56.0	26.0	9.6	15.4	44	28.0	8.7	7	22	10	5	1	190
vir_0855	8	40	29	14	17	1	3	3	5	3	5	9	3	7	5	2	1	50.0	30.0	14.0	12.3	28	10.0	3.2	5	25	13	5	1	280
vir_0860	8	39	22	23	14	2	3	5	5	3	7	9	3	7	5	2	1	50.0	24.0	13.3	13.0	31	24.0	4.4	7	23	10	3	11	220
vir_0862	8	39	21	21	18	1	3	5	5	3	3	9	3	7	5	2	1	55.0	30.0	9.1	5.4	16	4.0	0.8	5	27	13	3	1	240
vir_0876	8	40	15	25	12	2	3	3	3	3	3	9	3	1	5	1	1	43.0	30.0	2.5	2.1	12	8.0	1.3	7	20	11	3	11	165
vir_0880	8	39	16	25	16	3	3	3	3	3	3	9	5	7	7	1	1	50.0	26.0	5.5	2.3	12	8.0	1.2	7	22	12	3	10	200
vir_0881	8	39	21	21	17	2	3	5	5	3	5	9	5	7	7	2	1	60.0	22.0	13.0	8.0	28	14.0	4.0	7	25	12	5	10	280
vir_0884	8	40	15	25	14	1	3	3	7	3	5	7	5	1	5	2	1	46.0	21.0	11.8	4.1	16	6.0	1.1	7	24	12	5	1	220
vir_0885	9	41	31	9	16	3	5	5	3	7	3	9	5	7	5	1	1	47.0	22.0	7.9	9.9	43	30.0	6.2	7	23	10	3	10	220
vir_0900	8	41	14	21	12	3	5	5	3	7	3	9	5	1	5	1	1	40.0	17.0	5.9	4.1	40	27.0	2.9	7	18	8	3	10	125
vir_0905	8	39	22	20	10	1	3	3	5	3	7	5	7	7	7	2	2	60.0	25.0	16.3	21.4	58	47.0	11.6	7	21	10	5	1	245
vir_0906	8	37	18	21	14	3	5	5	3	7	9	9	3	7	7	2	2	60.0	23.0	10.5	12.3	74	99.0	12.4	7	20	10	3	14	165
vir_0914	8	39	21	20	11	2	3	5	3	3	9	5	3	1	5	2	2	56.0	21.0	12.2	18.3	62	47.0	11.3	7	21	10	3	10	215
vir_0915	7	40	30	15	16	2	3	3	5	3	9	7	5	7	5	2	2	60.0	20.0	13.4	24.1	66	48.0	14.5	7	20	10	3	10	255
vir_0917	7	40	30	15	11	3	7	3	5	7	7	9	5	7	7	2	2	50.0	17.0	12.0	19.0	75	48.0	11.5	7	20	10	3	10	255
vir_0918	8	39	28	17	18	1	3	3	7	3	7	9	5	7	7	2	2	60.0	22.0	11.1	24.6	51	12.0	6.4	5	26	13	5	1	390
vir_0919	7	40	16	24	13	2	3	5	5	3	9	9	5	7	7	2	2	50.0	17.0	14.2	12.0	46	44.0	12.0	7	24	11	3	10	295
vir_0920	8	37	23	18	14	1	3	5	5	3	7	9	5	7	7	2	2	46.0	19.0	6.0	19.3	50	38.0	11.1	7	22	11	5	1	275
vir_0923	8	39	21	19	13	3	7	5	3	7	5	9	5	7	7	1	1	40.0	19.0	3.8	7.2	44	36.0	4.1	7	16	8	3	10	135
vir_0929	8	39	22	17	13	3	7	5	3	7	5	9	5	7	7	1	1	40.0	20.0	4.1	5.2	37	46.0	5.3	7	20	10	3	10	150
vir_0930	8	37	23	18	11	3	7	5	3	7	5	5	5	1	5	1	1	44.0	17.0	6.4	21.4	79	102.0	14.3	7	20	10	3	11	145
vir_0931	8	36	19	23	14	2	7	5	5	7	7	9	3	7	7	2	1	45.0	19.0	5.4	6.6	34	44.0	6.4	7	19	8	3	10	160
vir_0932	8	36	19	21	14	3	7	5	3	7	5	5	5	1	5	2	1	50.0	18.0	4.3	5.5	26	35.0	3.8	7	19	10	3	10	160
vir_0933	8	35	25	17	15	3	7	5	3	7	5	5	5	1	5	2	1	45.0	21.0	7.0	15.5	58	84.0	11.7	7	20	10	3	10	170
vir_0934	8	38	29	11	12	3	7	5	3	7	7	9	5	7	5	2	1	38.0	18.0	3.7	7.8	41	56.0	5.8	7	19	9	3	10	115
vir_0935	7	36	20	22	18	3	7	5	5	7	7	9	5	7	5	2	1	50.0	16.0	9.0	15.0	57	72.0	10.1	7	20	9	3	10	245
vir_0936	8	35	20	20	13	3	7	5	5	7	7	5	5	1	5	2	2	47.0	21.0	5.9	9.0	41	55.0	7.8	7	20	10	3	10	145
vir_0940	8	39	28	13	14	2	3	3	5	3	9	5	5	1	5	2	2	60.0	23.0	15.3	20.0	65	52.0	13.4	7	20	10	3	11	240
vir_0941	7	40	16	19	13	1	3	5	5	3	5	5	5	1	5	2	2	45.0	18.0	4.8	8.0	39	39.0	5.4	7	19	9	3	10	145
vir_0943	8	40	20	15	18	3	7	3	3	7	3	9	5	1	5	2	1	45.0	20.0	3.8	3.1	26	25.0	3.2	7	17	9	3	10	125
vir_0944	8	37	18	18	11	3	7	3	3	7	3	9	5	1	5	2	1	40.0	21.0	2.6	4.1	22	27.0	2.1	7	20	9	3	10	105
vir_0945	8	40	15	25	14	3	7	5	3	7	5	7	5	1	5	2	1	52.0	23.0	13.3	15.2	39	51.0	10.5	7	22	13	3	10	250
vir_0947	8	39	14	23	14	3	7	5	3	7	5	7	5	1	5	1	1	45.0	21.0	5.0	6.1	33	40.0	5.0	7	19	8	3	10	170
vir_0957	8	34	19	22	12	3	7	3	3	7	7	9	5	7	7	2	1	53.0	26.0	3.5	9.2	42	56.0	6.4	7	19	8	3	14	135
vir_0958	8	39	21	21	15	3	7	3	3	7	5	9	5	7	7	1	1	46.0	17.0	9.8	17.4	48	98.0	5.2	7	17	8	3	10	130
vir_0960	8	36	19	23	17	3	7	3	3	7	5	9	5	7	5	2	1	60.0	21.0	9.0	14.3	82	58.0	8.7	7	20	9	3	10	150
vir_0961	8	36	15	28	14	3	7	3	3	7	7	9	5	7	5	1	1	50.0	21.0	8.9	20.4	55	49.0	13.6	7	22	10	3	10	215
vir_0962	8	39	30	12	13	3	7	3	3	7	9	9	5	7	5	2	2	50.0	21.0	5.4	13.4	53	50.0	10.0	7	21	10	3	10	215
vir_0963	8	39	21	21	15	2	3	3	5	3	5	9	5	7	5	2	1	60.0	27.0	10.8	21.9	53	62.0	14.9	7	26	11	3	11	205
vir_0965	8	39	16	21	16	3	7	5	3	7	3	9	5	1	5	1	1	32.0	18.0	2.3	4.0	30	17.0	1.7	7	17	8	3	11	205
vir_0967	7	39	31	10	17	1	3	3	5	3	7	9	5	7	5	2	2	52.0	22.0	14.7	15.7	42	44.0	7.6	7	23	10	5	1	195
vir_0973	8	39	21	22	15	3	7	5	3	7	5	9	5	1	5	2	1	43.0	16.0	6.2	11.4	62	64.0	6.6	7	19	9	3	10	140
vir_0983	8	39	21	22	15	3	7	3	3	7	7	9	3	7	5	2	1	45.0	17.0	6.8	17.3	84	105.0	13.0	7	20	9	3	10	145
vir_0985	8	40	13	29	16	1	3	3	7	3	9	9	5	7	7	2	2	70.0	21.0	31.3	36.4	70	48.0	21.0	5	26	12	5	1	410
vir_0990	8	35	25	19	15	3	7	5	3	7	5	9	5	1	5	2	2	50.0	18.0	5.3	7.7	45	35.0	3.7	7	20	8	3	10	90
vir_0991	8	36	19	23	18	3	7	3	3	7	5	9	5	1	5	2	2	40.0	22.0	3.6	6.9	31	23.0	2.7	7	20	9	3	10	160
vir_0992	8	38	17	23	18	3	7	5	3	3	3	9	5	1	5	2	2	40.0	17.0	4.2	8.9	42	48.0	4.8	7	20	9	3	10	110
vir_0994	8	39	22	21	16	3	7	5	3	7	3	9	5	1	5	1	1	40.0	18.0	4.2	8.3	44	36.0	5.1	7	17	8	3	10	140
vir_0999	8	39	21	22	16	3	7	5	3	7	3	9	5	1	5	1	1	36.0	14.0	5.0	5.4	40	35.0	3.75	7	18	9	3	10	140
vir_1001	8	39	16	23	18	3	7	3	3	7	7	9	5	1	5	2	1	54.0	18.0	8.4	11.0	41	33.0	6.6	7	19	8	3	10	175
vir_1002	8	39	16	23	18	3	7	3	3	7	3	9	5	1	5	2	1	42.0	27.0	3.4	1.4	7	3.0	0.2	7	18	8	3	10	210
vir_1003	8	39	16	23	18	3	7	3	3	7	3	9	5	1	5	2	1	40.0	22.0	3.0	2.3	8	11.0	1.1	7	16	8	3	10	120
vir_1005	8	39	16	23	18	3	7	5	3	7	5	7	5	7	5	2	1	40.0	18.0	4.1	8.7	57	66.0	5.7	7	17	7	3	10	105
vir_1007	8	39	21	21	18	3	7	5	3	7	3	9	5	1	5	1	1	32.0	17.0	3.2	2.2	19	20.0	1.7	7	15	8	3	10	120
vir_1008	8	39	21	21	14	3	7	7	5	7	9	7	5	1	5	2	1	70.0	37.0	6.8	12.5	38	48.0	6.6	7	20	10	3	10	155
