Sample	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity
V_147	2	0	0	3	62.5	0	0	100	3	25	16.2	40.6	22.9	178
V_148	1	0	0	3	72.5	0	0	92	2	0	19.1	40.3	22	210
V_149	1	1	0	3	77.5	0.5	0	94	2	5	16.6	40.5	21.3	183
V_150	1	1	2	3	67.5	0.5	0	96	2	0	16.5	39.7	21.7	181
V_151	2	0	0	3	72.5	0.5	0	98	2	10	10.1	40.4	20.7	111
V_152	1	1	2	3	57.5	1	0	104	3	10	17.2	43.8	19.7	189
V_153	1	1	2	2	62.5	0	0	89	2	0	10.9	38.9	21	120
V_154	1	1	0	3	77.5	0.5	0	104	3	60	15.9	43.2	20.7	175
V_155	1	1	0	3	77.5	0	0.5	100	3	20	24.7	39.3	21.7	272
V_157	1	1	2	3	77.5	0.5	0	104	3	20	19.8	42.2	21.4	218
V_158	1	0	0	3	105	0	0.5	102	3	10	23.5	38.2	22.7	259
V_159	1	1	0	3	62.5	0.5	0	106	3	15	20	40.5	22.2	220
V_160	1	1	0	4	82.5	0.5	0	116	4	0	23.1	40.5	21.7	254
V_161	1	1	0	3	77.5	0.5	0	106	3	5	20	42.4	22.2	220
V_162	1	0	0	3	62.5	0.5	0	108	3	5	25.9	39.8	22.7	285
V_163	1	1	0	3	57.5	1	0	108	3	5	21.9	39	23.7	241
V_164	1	0	0	3.5	105	0	0.5	112	4	10	18.7	38.1	23	206
V_165	1	1	0	3	77.5	1	0	108	3	5	33	39	23.5	362
V_166	1	1	0	3.5	102.5	0.5	0	113	4	5	28.3	37.9	22.5	311
V_167	1	1	1	3.5	102.5	0	0	112	4	10	22.4	37.9	22.7	246
V_168	1	1	1	4	82.5	0.5	0	111	4	50	10.2	43.4	22.1	112
V_169	1	1	1	4.5	87.5	0	0	116	4	5	21.1	42.2	20.9	232
V_170	1	1	2	3.5	82.5	0.5	0	111	4	15	17.2	43.2	20.2	189
V_171	1	1	0	3.5	102.5	0	0	115	4	5	23.7	39.8	20.9	260
V_172	1	1	0	3.5	57.5	1	0	115	4	5	22.2	37.1	22.5	245
V_173	1	1	0	4.5	105	0	0	123	5	0	10	40.2	20.2	110
V_174	1	1	0	4	105	0.5	0	123	5	5	19.2	38.3	21.5	211
V_175	1	1	0	4.5	77.5	0.5	0	123	5	0	16.5	41.3	20.8	181
V_176	1	1	0	4.5	77.5	1	0	118	4	5	17.7	42.1	21.2	195
V_177	2	0	0	3	77.5	0	0	116	4	5	27.5	39.8	21.7	302
V_178	1	1	0	5	87.5	1	0	133	5	0	11.6	42	19.1	128
V_179	1	1	1	3.5	107.5	0	0	123	5	5	18.9	35.4	24.3	208
V_180	1	1	2	5	77.5	1	0	133	5	0	8.1	39.6	18.3	89
V_181	1	1	2	5	62.5	1	0	131	5	0	10	40.6	20.4	110
V_182	2	1	1	5	97.5	0	0	123	5	5	17.4	38.6	21.5	192
V_183	1	0	0	4.5	57.5	1	0	129	5	0	12.3	40.7	20.2	135
V_184	2	1	2	4	82.5	0	0	114	4	10	27.6	39.5	21	304
V_185	1	1	0	4.5	97.5	0	0	123	5	0	12.4	39.3	20.2	136
V_186	1	1	2	3	37.5	1	0	98	2	10	13	44.3	18.7	143
V_187	1	1	2	3.5	67.5	0.5	0	110	3	10	24.3	40.4	22.4	267
V_188	1	1	2	3.5	105	0	0	114	4	5	25.4	36.1	23.2	279
V_189	1	1	2	4	77.5	1	0	107	3	0	21.7	45.1	17.9	239
V_190	1	1	2	4	97.5	0	0	114	4	5	29.4	37.1	23.1	323
V_191	1	1	2	3.5	67.5	1	0	109	3	0	25.2	46.3	18.4	277
V_192	1	1	2	3	42.5	1	0	104	3	20	12.9	41.2	19.9	142
V_193	1	1	2	3.5	82.5	1	0	113	4	10	19	43.2	20.2	209
V_194	1	1	0	3	72.5	1	0	106	3	0	25.1	38.4	21.9	276
V_195	1	1	2	3	77.5	0.5	0	102	3	60	14.5	40.1	21.1	160
V_196	1	0	2	1	32.5	1	0	83	1	40	5.3	45.5	17.2	59
V_197	1	1	2	1	27.5	1	0	83	1	20	4.4	45.1	17	48
V_198	2	1	0	3	72.5	0.5	0.5	92	2	5	17.7	36.2	23.1	195
V_199	1	1	2	1.5	72.5	0.5	0	85	1	5	11.8	42.1	20.5	130
V_200	1	1	2	1.5	62.5	0.5	0	86	1	20	7.8	40.6	19.8	86
V_201	1	0	0	2	77.5	0	0	91	2	0	15.7	38.7	22.4	173
V_202	1	0	0	2	72.5	0	0	100	3	60	21.3	40	22.4	235
V_203	1	1	2	2	62.5	0.5	0	98	2	50	16.2	44.4	19.7	178
V_204	1	1	2	3	72.5	0	0	100	3	60	13.6	41.6	19.9	149
V_205	2	0	0	3	62.5	1	0	94	2	10	20.4	41.9	20.8	224
V_206	1	1	0	3	52.5	0.5	0	106	3	30	16.4	42.8	20.6	180
V_207	1	0	0	3	67.5	0	0	104	3	30	19.3	41.3	22.4	212
V_208	1	1	2	3	62.5	0.5	0	100	3	30	10.4	46.1	20.2	114
V_209	1	1	0	3	72.5	1	0.5	97	2	0	19.8	44.9	20.3	218
V_210	1	1	2	2	77.5	0	0	102	3	30	13.8	43.1	20.4	152
V_211	1	1	2	2	57.5	0.5	0	102	3	20	9.8	42.7	19	108
V_212	1	1	2	3	77.5	0.5	0	107	3	15	19.9	43.9	21.7	219
V_213	1	1	2	3	62.5	0.5	0	110	3	10	21	41.4	21.7	231
V_214	1	1	2	3	57.5	0.5	1	102	3	25	12.7	44.1	20	140
