	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_104	1	1	2	3	67.5	0.5	0	104	3	NA	NA	41.3	20.2	186	0.505708553918641	-0.234649432563151
V_105	1	1	2	3	57.5	0.5	0	102	3	NA	NA	41.5	19.4	133	0.537698393933771	-0.261800827117597
V_106	1	1	2	2	37.5	1	0	85	1	NA	NA	44.6	17.4	64	0.665573911783214	-0.253509228212039
V_107	1	0	2	3	62.5	0.5	0	104	3	NA	NA	42.8	20.9	72	0.506846322711112	-0.158134249030566
V_108	1	0	0	3	57.5	0.5	0	113	4	NA	NA	42.4	21.8	116	0.47039457840199	-0.133430832173639
V_109	1	1	0	3	47.5	1	0	104	3	NA	NA	43.4	21.3	117	0.503284926214847	-0.121902700322185
V_110	1	0	2	3	77.5	0.5	0	100	3	NA	NA	42.1	20.4	109	0.512307942106289	-0.201306915396163
V_111	1	0	2	3	72.5	0.5	0	104	3	NA	NA	42.2	21.8	104	0.467051277699929	-0.13990982696903
V_112	1	1	2	3	62.5	0	0	102	3	NA	NA	44	19.8	112	0.564630206825233	-0.166666003500321
V_113	1	0	0	3	82.5	0.5	0	111	4	NA	NA	40	22.6	134	0.40370815485439	-0.178205297546099
V_114	1	1	2	5	67.5	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_115	1	1	2	3	52.5	1	0	104	3	NA	NA	40.8	20.7	46	0.479806161666394	-0.229639949529615
V_116	1	1	2	5	77.5	1	0	131	5	NA	NA	41.6	18.3	112	0.58067545756091	-0.305268247688532
V_117	2	1	2	3	72.5	0.5	0	106	3	NA	NA	39.7	21	150	0.450305927558142	-0.25171585802735
V_118	1	1	2	3	62.5	1	0	113	4	NA	NA	47.4	17.2	122	0.716803226791702	-0.175502685416663
V_119	1	1	2	3	67.5	1	0	113	4	NA	NA	47.7	17.3	127	0.71716530188599	-0.161281844410551
V_120	1	1	2	3	62.5	1	0	111	4	NA	NA	45.1	18.3	136	0.637797013590864	-0.197720025521863
V_121	1	1	2	3	62.5	1	0	107	3	NA	NA	45.1	19.3	131	0.600176078903895	-0.153380488488844
V_122	1	0	2	3	87.5	0.5	0	112	4	NA	NA	42	21.2	134	0.483426587606885	-0.171188669650026
V_123	1	1	0	4.5	82.5	1	0	118	4	NA	NA	38.2	22.3	132	0.380599402712033	-0.247063353303912
V_124	1	1	0	3	72.5	1	0	107	3	NA	NA	42.7	21.5	137	0.485178478948813	-0.136209564636109
V_125	1	1	0	4	87.5	0	0	118	4	NA	NA	39.9	21.4	132	0.440517202241097	-0.229399594672067
V_126	1	1	0	4	82.5	0.5	0	118	4	NA	NA	39.6	22.9	116	0.387276874067871	-0.179104990508603
V_127	1	0	2	3	102.5	0.5	0	118	4	NA	NA	40.3	20.3	119	0.484884745239055	-0.261507230023987
V_128	1	1	2	3	72.5	0.5	0	102	3	NA	NA	42.4	19.4	178	0.552869323963078	-0.234028170400306
V_129	1	1	2	3	52.5	1	0	102	3	NA	NA	41.1	20	137	0.509311936409062	-0.249132746111947
V_130	1	1	2	2	77.5	0	0	107	3	NA	NA	42.2	21	96	0.493488255159601	-0.173118925210342
V_131	2	1	0	5	52.5	0	1	112	4	NA	NA	47.4	16.5	15	0.746182808502934	-0.208452851282383
V_132	2	1	0	5	62.5	0	1	116	4	NA	NA	48.9	15.4	17	0.816998166190988	-0.214802480076092
V_133	1	0	2	4	72.5	0	0.5	128	5	NA	NA	48.4	15.9	24	0.787137624835422	-0.205954099668614
V_134	1	1	2	5	145	0	1	130	5	NA	NA	47.6	16.7	19	0.740640642744971	-0.192717645910505
V_135	2	1	2	3	102.5	0	0.5	113	4	NA	NA	41.5	19.5	104	0.534062875482236	-0.257610958083034
V_136	1	0	2	3	82.5	0	0	104	3	NA	NA	37.5	17.5	127	0.538914399016229	-0.460007301093869
V_137	1	1	2	3	57.5	0	0	104	3	NA	NA	40.4	14.3	85	0.734380064888141	-0.517464809346298
V_138	1	0	2	4	72.5	0	0	83	1	NA	NA	39	17.2	47	0.578874566113278	-0.42898591754126
V_139	1	1	2	3	77.5	0.5	0	114	4	NA	NA	39.6	20.5	116	0.465562097291196	-0.274954669792407
V_140	1	1	2	4	45	1	0	133	5	NA	NA	46	16.2	51	0.737957959121473	-0.265755579684121
V_141	1	1	2	5	55	1	0	137	5	NA	NA	45.9	16.8	46	0.710703289374993	-0.240924727920391
V_142	1	0	0	3	57.5	0	0	92	2	10	16.2	40.4	22.4	179	0.41702953627206	-0.173393981330788
V_143	1	0	0	3	72.5	0	0	90	2	10	14.7	37.6	23.3	161	0.338386437916187	-0.227307554422538
V_144	1	0	0	3	57.5	1	0	109	3	5	23.4	44	22.2	258	0.483729871669516	-0.06394788246938
V_145	1	1	0	4.5	92.5	0.5	0	136	5	0	10.9	39.9	19.5	120	0.506261485093319	-0.306490503159583
V_146	2	0	0	2	77.5	0	0	92	2	5	17.2	39.9	22.6	190	0.401938174502965	-0.181407428664626
V_147	2	0	0	3	62.5	0	0	100	3	25	16.2	40.6	22.9	178	0.404911373559874	-0.146854888888118
V_148	1	0	0	3	72.5	0	0	92	2	0	19.1	40.3	22	210	0.428018109640098	-0.192663091563209
V_149	1	1	0	3	77.5	0.5	0	94	2	5	16.6	40.5	21.3	183	0.454383212333799	-0.214600606491993
V_150	1	1	2	3	67.5	0.5	0	96	2	0	16.5	39.7	21.7	181	0.4271200214861	-0.22365519444043
V_151	2	0	0	3	72.5	0.5	0	98	2	10	10.1	40.4	20.7	111	0.472839536041281	-0.24210144898854
V_152	1	1	2	3	57.5	1	0	104	3	10	17.2	43.8	19.7	189	0.564989053207554	-0.177331654206889
V_153	1	1	2	2	62.5	0	0	89	2	0	10.9	38.9	21	120	0.435911399312645	-0.276480431188795
V_154	1	1	0	3	77.5	0.5	0	104	3	60	15.9	43.2	20.7	175	0.520223263694489	-0.153751015396523
V_155	1	1	0	3	77.5	0	0.5	100	3	20	24.7	39.3	21.7	272	0.419959385294112	-0.236206954751424
